mana man kagam	мой друг мне писал
din shobiʔi il dabakterzitte man shikene	туда пришли люди чтобы говорить на моем языке
man dizengde bar mambiam mambiam	я им всё говорила говорила
digette	потом…
 man oʔbdebiam shoneste dober il mandeʔi iʔ kanaʔ	когда я собиралась ехать сюда люди говорили не езжай
kulallel din	ты там умрешь
man mambiam ej pimniem	я сказала я не боюсь
mana din toze dune elleʔi	там меня тоже похоронят
kabarlej	всё
ugande jakshe dabakterlial	ты очень хорошо говоришь
 tujo dabakterzitte nada	сейчас надо говорить
digette talerde kalam	потом я на пашню пойду
du talerzitte	землю пахать
digette ipek kuʔsitte	потом хлеб сеять
digette ozerlej urgo ozerlej bar	потом он будет расти большой вырастет
sire molej	станет белый
digette puzitte nada	потом надо созреть
digette toʔnarzitte nada	потом его надо обмолотить
digette barane kamnaste	потом сложить в мешок
digette nada neʔsitte	потом его надо смолоть
digette nada ilgerzitte	потом просеивать надо
digette nuldeste nada	потом надо поставить 
digette purzitte nada	потом надо испечь
digette amzitte nada	потом есть надо
bar	все
tan kandlaʔbel	ты идешь
imbi mana ej norbebiel	почему мне не сказал
man bi noʔ mibiem	я бы тебе траву дала
din man tugazangbe ige	там у меня родственники есть
tan bi kubiol dim	ты бы его повидал
kabarlej	хватит
tan imbi mana ej norbebiel shto kandegal krasnojarske	ты почему мне не сказал что едешь красноярск
din man tuganbe ige	у меня там родственник есть
man bi noʔ tanan mibiem	я бы тебе траву дала
din sijde izembie	у него сердце болит
di bi biʔpi	он бы выпил
tan bi kubiol dim	ты бы его повидал
kabarlej	хватит
amnaʔ toltanoʔ amzitte	садись есть картошку
a girgit toltanoʔ	а что за картошка
da man kishkebiem	да я потерла
digette un ibi	потом взяла муку
man digette sireʔpne embiem i keʔbde embiem	потом я положила сахар и ягоды
dibige bu kamnabiam	налила теплой воды
digette minzerbiem	потом сварила
amnaʔ amoraʔ	садись поешь
ni naga	мальчика нет
giberde kalla durbi	куда-то ушел
manderzitte nada	надо его поискать
mozet shindi-nibud kuʔpi	может кто-нибудь убил
mozet urgaba ambi	может медведь съел
ajiriom bar ugande	жалею ведь очень
kabarlej	хватит
oʔb shide nagur teʔte sumna sejʔpu shinteʔte beʔ	один два три четыре пять семь восемь десять
sbilas ja	сбилась я
kabi boste inezengde ibiʔi digette tajirzitte mozna	если бы были свои лошади можно было бы пахать
i toltanoʔ amzitte	и картошку есть
a to boste ineʔi naga	а то своих лошадей нет
bar	все
man meim bar jezerik	моя невестка пьяная
ara biʔpi	водки выпила
shobi bar kudonzebiʔi boste tibiziʔ	пришла поругалась со своим мужем
dabrobiʔi bar	они подрались
ugande di kurojok	она очень сердитая
vsaka kudonzlaʔpi	по-всякому ругалась
kade diʔne kereʔ	как ей надо
bazoʔ kalla durbi ara biʔsitte	опять ушла водку пить
a to diʔne amga	а то ей мало
kabarlej	хватит
shiʔ dijegen ibileʔ	вы были в лесу
gijen kunolbilaʔ	где вы спали
kunolbibaʔ palatkagen	мы спали в палатке
urgaba shobi	медведь пришел
bar mimbi don	ходил там
miʔ ugande pimbibeʔ	мы очень испугались
di toze pimnie multukde	он тоже боится… ружья
ejem nada surarzitte  	надо у хозяина спросить разрешения лечь поспать
kabarlej	все
kurochka lunkam bar monoʔkolaʔbe	курочка к луню сватается
bar punorleʔbe	кудахчет
bar munorleʔbe	бьет крыльями
dashka bar	это все
imbi pimniel	что ты боишься
kanaʔ unna	иди один
man unna mimbiem shindinede ej pimniem	я одна ходила я никого не боюсь
a tan uge pimneʔbel	а ты всегда боишься
nomelleʔpiem	я забываю
 hwatit	хватит
dizeng ej timneʔi dabakterzitte	они не умеют разговаривать
a man bar dabakterlaʔbem	а я говорю
iam surarbiam	я мать спрашивала
dabakterzitte axota mana	мне хочется разговаривать
bar	все
don bar diregeʔi naga	тут нет поселенцев
oniʔ nuzang amnolaʔbeʔje	только камасинцы живут
dizeng bar diregeʔi pimnieʔje	они поселенцев бояться
bar ej dabakterlam	я не буду говорить
tujo bara detlem	сейчас я принесу мешок
tan dabolal	ты будешь держать
man toltanoʔ kamnabiam	я картошки насыплю
amnogaʔ	сидите
man ishsho shide aspaʔ detlem	я еще две кастрюли принесу
paʔlam	сварю
digette dabakterzitte mozna	потом можно разговаривать
bar ej dabakteriam	все я не говорю
teinen ugande dibige dala	сегодня очень жаркий день
bar ipek nendlej	хлеб сгорит
ipek ej ozerlej	хлеб не вырастет
digette naga ipek	потом будет хлеба
imbi amzitte	что есть
kulambiam kuzitte mozna ipekziʔ naga	я умерла умереть можно нет хлеба
bar ibe ej dabakterlam	хватит не буду говорить
tan ugande sager	ты очень грязный
bazejdaʔ	помойся
multane kanaʔ	в баню сходи
saben iʔ	возьми мыло
digette kujnek iʔ	потом возьми рубашку
sherde	одень ее
kabarlej	хватит
ugande kuvas digette molal	потом ты станешь очень красивый
kujnek sheriel dak	если оденешь рубашку
bar koʔbsang tanan bar	все девушки будут тебя 
kuvas	красивый
kabarlej	хватит
dizeng krasnojarskeʔi kambiʔi	они поехали в красноярск
mana ej norbeʔi	мне не сказали
man man din tuganbe ige	у меня там есть родственник
man bi noʔ mibiem	я бы траву дала
din sijde izemnie	у него сердце болит
dizeng bar kubiʔi bi dim 	они бы его повидали
bar dashka ej dabakterlam	все больше я не буду говорить
sager ne shobi	черная женщина пришла
sire kuza mande izitte nada	белый мужчина говорит надо взять 
kanzebej obberej	пойдем вместе
aktigen bar kunolzebej bar	давай спать на 
panarzebej bar	давай целоваться
tibil bar munorlej tanan	твой муж будет тебя бить
kabarlej	хватит
dashka ej dabakterlam	больше не буду говорить
nada mana eshshi bazejste	надо мне ребенка помыть
di ugande sager	он очень грязный
bar tuʔpi iʔgo	он много какал
bar kishkebiem	я его терла
di kolambi	он высох
digette nada kurzitte dim	потом надо его причесать
digette amorzitte nada	потом надо поесть
digette kunolzitte	потом спать
orde eshshim	покачай ребенка
teinen urgo dala	сегодня праздник
a il uge togonorlaʔbeʔje	а люди всё работают
toltanoʔ amlaʔbeʔje	сажают картошку
tajirlaʔbeʔje	пашут
a miʔ amnolaʔbebaʔ	а мы сидим
kabarlej dashka dabakterzitte ne axota	хватит больше говорить неохота
teinen urgo dala	сегодня праздник
mana tuganbe kashtebiʔi	меня мой родственник позвал
kanzebej	пойдем
din ara bitlebej	там водку будем пить
din sarlaʔbeʔje garmonene	там играют на гармони
miʔ bar suʔmeleʔbebeʔ	мы танцуем
bar	все
oʔb oʔb shide nagur teʔte sumna sejʔpu	один один два три четыре пять семь
amitun shinteʔte	девять восемь
beʔ	десять
beʔ oniʔ beʔ shide beʔ sumna beʔ muktuʔ	одиннадцать двенадцать пятнадцать шестнадцать
man unna shobiam a dizeng bar sumna shobiʔi	я пришла одна а они впятером пришли
man mij minzeriem	я суп варю
ugande jakshe mij	очень хороший суп
namga ujaziʔ	вкусный с мясом
kobergen embiem bar	я лук положила
tus embiem	соль положила
toltanoʔ ambiem	картошку положила
amnaʔ amoraʔ	садись ешь
obberej	вместе
kabarlej	хватит
ugande kushtu kuza	очень сильный человек
man diʔne pimniem	я его боюсь
di bar kutlej	он убьет
man shaʔlambiam shtobi di mana ej kubi	я спряталась чтобы он меня не увидел
man dijene nuʔmeluʔlem	я убегу в лес
di mana din ej kulej	он меня там не найдет
kabarlej	хватит
tibizeng iʔgo oʔbdebiʔi	много мужчин собралось
imbide bar dabakterlaʔbeʔje nada kanzitte nilgoste imbi dabakterlaʔbeʔje	они о чем-то говорят надо пойти послушать о чем они говорят
man digette timlem	я тогда буду знать
bar dashka ej dabakterliam	все больше я не буду говорить
di kuza bar jezerik	этот человек пьяный
inegen amnoluʔpi	сел на лошадь
digette uzebi dune	потом упал на землю
digette inet nuʔmeluʔpi	потом лошадь убежала
uzu durdebi	он шапку потерял
maluʔpi bar	он остался
kunollaʔ iʔbolaʔbe saʔmeluʔpi	он лежит и спит он упал
bar kabarlej	все хватит
nizeng koʔbsang bar iʔgo oʔbdebiʔi bar nujleʔbeʔje	парней и девушек много собралось поют
garmone sarlaʔbeʔje suʔmileʔbeʔje	играют на гармони танцуют
kabarlej	хватит
man dijene mimbiem	я пошла в лес
keʔbde ninggebiem	собирала ягоды
kalba ninggebiem	черемшу собирала
pirogeʔi purbiem shiʔnileʔ milem	пирогов напекла вам дам
kabarlej	хватит
man iam nu ibi abam direk ibi	моя мать была камасинкой отец был поселенцем
shide ni ibiʔi	было два сына
muktuʔ koʔbdang ibi	шесть дочерей было
bar kabarlej	все хватит
nagur kulambiʔi a nagur ej kubiʔi	трое умерло а трое не умерло
man abam albuga 	мой отец соболей…
beʔ sumna kuʔpi	пятнадцать убил
bar	все
kabarlej	хватит
tazep isho bara deʔpi	еще мешок белок принес
kabarlej	хватит
nu kuza izemnie	камасинец заболел
digette kambi shamande di dim bar dazirlaʔpi	он пошел к шаману тот его лечил
dashka bar naverna	все наверное
man ugande pujoliam	я очень голодный
amnaʔ amoraʔ shindi tanan ej milie	сядь поешь кто тебе не дает
digette iʔbeʔ da kunolaʔ	потом ложись и спи
kabarlej	хватит
esseng niʔnen bar sarlaʔbeʔje	дети играют на улице
kirgarlaʔbeʔje dabrolaʔbeʔje	кричат дерутся
na shto dabrolial	зачем ты дерешься
jakshe nada sarzitte	хорошо надо играть
iʔ dabroste	не драться
kabarlej naverna	хватит наверное
iʔ dabrogaʔ	не деритесь
nada jakshe sarzitte	надо хорошо играть
na shto dabrolaʔbel	зачем ты дерешься
man teinen nubiam	я сегодня встала
kuja ishsho ej nubi man nubiam	солнце еще не встало когда я встала
digette tuzoj surdebiam	я корову подоила
buzej bitelbiem	теленка напоила
kurizeʔi badlaʔbem	кур покормила
digette munejʔ purbiem	потом яйца
toltanoʔ minzerbiem	сварила картошку
amorbiam	поела
digette nu il shobiʔi dabakterbiam	потом камасинцы пришли я поговорила
bar tararluʔpiam	я устала
kabarlej	хватит
kandegaʔ maʔnel	идите домой
kabarlej dabakterzitte	хватит говорить
amgaʔ	поешьте
iʔbeʔ kunolzitte	ляг спать
kabarlej dashka	хватит больше 
shumurane mimbiem	я ходила на тот конец
ugande il iʔgo kubiam	очень много людей видела
kong bar shobiʔi	начальник пришел
tibizeng din iʔgo inezeng	там мужчин много лошадей
koʔbsang nizeng bar	девушки парни
kabarlej	хватит
imbi di todam kuza ej shobi koʔbdo ej shobi	почему этот худой человек не пришел девушка не пришла
gijen dizeng	где они
imbi ej shobiʔi dabakterzitte manziʔ	почему они не пришли со мной говорить
kabarlej	хватит
gijen dizeng	где они
imbi ej shobiʔi dabakterzitte	почему не пришли говорить
teinen kabarlej dabakterzitte	хватит сегодня говорить
kanaʔ maʔnel	иди домой
tan mana dare ej 	ты меня так не…
tan mana dare ej tushelleʔ	ты меня так не учи
dare ej jakshe manzitte	нехорошо так говорить
na shto surerzitte il	зачем людей выгонять
di nuzang il wed	это ведь камасинцы
kabarlej	хватит
a po nashemu oniʔ zid shobi oniʔ nu kuza shobi	а по-нашему один жид пришёл один татарин пришёл
nuzang	татары
digette plemannica mana noʔ kambi	потом племянница ко мне пошла траву 
miʔ di kopnaʔi embibeʔ	мы копны делали
digette oniʔ uzebi	одна упала
man mambiam	я сказала…
miʔ nagurbeʔ ibibeʔ	нас трое было
man mambiam no kut kodu saʔmelupi	я сказала
man mambiam shinde-nibud kulallej	я сказала кто-нибудь умрет
digette man malliam di man kulallem	тогда я говорю это я умру
man dakte ved	я ведь старая
a shiʔ isho ej dakte	а вы еще не старые
digette maʔnibaʔ shobibaʔ	потом мы пришли домой
kamen di shobi dober man mimbiem koburgen ninggebiem	когда она туда пришла я пошла сорвать лук
shomi pa berze nagobi dune saʔmeluʔpi	лиственница… ветра не было она упала на землю
man shindinede ej mambiam a digette din tibit kamen bugen kulambi man mambiam	я никому не сказала а потом когда ее муж утонул я сказала
kamen man abam shobi di turande spasskane maʔni	когда мой отец пришел в ту деревню в спасское к нам домой
digette sholaʔbe shomi pa nulaʔbe	он идет лиственница падает
digette page suchok dune saʔmeluʔpi	потом с дерева сучок упал на землю
digette di shobi maʔnde mana norbelie	потом он пришел домой и мне рассказывает
man mambiam shindide essengde kulallej	я сказала кто-то из детей умрет
i digette dare di i ibi	и потом так и было
man nim kambi bugen i din kulambi	мой сын пошел на реку и утонул
kamen di shobi mana kanzebej din iat tibine kalla durbi man unna amnolaʔbiom	когда он ко мне пришел поедем мать вышла замуж я один живу
man mambiam kanaʔ mana monoʔkoʔ abane da iane	я сказала иди посватай меня к родителям
di mande dizeng ej mileʔi kanzebej	он говорит они не дадут поедем
digette man oldam oʔbdebiom	тогда я одежду собрала
nudin inem kondlaʔpibaʔ amnebibaʔ kambibaʔ kazan turane	ночью мы взяли лошадь сели и поехали в агинское
bar nudi din kunolbibaʔ digette shobibaʔ bazo turane kaptirlikte	целую ночь там спали потом приехали опять в ту деревню в каптырлык
din selaj dala ibibeʔ digette nudin shobibaʔ din maʔne	там мы были целый день потом ночью приехали к нему домой
digette di erten shobi din kazak iat	потом утром пришла его крестная
digette uʔbdebibaʔ	потом мы встали
din amnobiam	я там жила
noʔ jaʔpibaʔ din bar	мы косили там траву
digette din dadat shobi	потом пришел его дядя
shoʔ mana noʔ jaʔsitte	приходи ко мне косить траву
digette di koʔbdom deʔpi	он привез девушку
mana norbebiʔi di dizi amnolej	мне сказали что он будет с ней жить
man bar oldam ibiem i din dadazi kambiam	я взяла одежду и уехала с его дядей
di bidebi mana	он догнал меня
bazo deʔpi maʔnde	опять привез домой
digette man iam shobi	потом моя мать приехала
man bazo kalla durbim	я опять ушла
di shobi da mana kundlambi maʔni	он пришел и меня увел домой
iʔbebeʔ kunolzitte digette dizeng shobiʔi	мы пошли спать потом они пришли
no amnogaʔ	ну живите
digette miʔnibeʔ kudajde numan uzebiʔi	потом они нас благословили
digette kanbiʔi	потом уехали
kareldan uʔbdebiʔi miʔnibeʔ shobiʔi	на следующий день встали пришли к нам
amorbiʔi digette kalla durbi maʔnde	поели потом уехала домой
digette di kambi dadane noʔ jaʔsitte	потом он пошел к дяде траву косить
i din dala dirgit ibi di boskende	и там… был такой день он 
gette kambiʔi bune	потом пошли к реке
i din shubiʔi bune oniʔ koʔbdo i di	и там зашли в воду одна девушка и он
digette pa oniʔ ni mibi di koʔbdom deʔpi a di kulambi bugen	один парень бросил им палку эту девушку вытащил а он утонул
nu kareldan kareldan	ну завтра…
man kareldan edeʔleʔbem arpitem	завтра я буду ждать арпада
di mambi sholam ilem tanan kanzebej man iane	он сказал я приду возьму тебя и мы поедем к моей матери
digette man giberde ej kalam dim	так что я никуда не пойду буду ждать его
kamen di sholej	когда он придет
man teinen kunolbiam i dodeni kubiam oniʔ kuza	я сегодня спала и во сне видела одного человека
di mana mande kanzebej giber-nibud	он мне сказал пойдем куда-нибудь
man mandem ej kalam	я говорю не пойду
man kunolbiam talden i dodeni kubiom boste sestrane tibi	вчера я спала и видела во сне мужа моей сестры
digette kambiam shiʔnileʔ dabakterbiam	потом я пошла к вам разговаривала
digette mambiam shindide dabakterlej manzi	потом я сказала кто-то будет говорить со мной
digette kong shobiʔi dabakterzitte manzi	потом начальник пришли поговорить со мной
digette din	потом там…
miʔ mimbibeʔ	мы пошли
di nuke ibi dala kamen di iat deʔpi	это был у той женщины день когда ее мать родила
man mimbiem nagur akta diʔne mibiem	я пошла дала ей три рубля
di badebi munujʔ embi	она нас нагнала дала нам яйца
kajaʔ embi kobergen	масло положила лук
mande amaʔ amaʔ	говорит ешь ешь
man ambiam idiʔeʔe	я немножко поела
digette oniʔ takshe segi bu biʔpiem	потом выпила одну чашку чая
mambiam kabarlej	сказала хватит
tak znachit tam ostanowilis kak on spat leg kak pogoworili potom on spat leg	так значит там остановились как он спать лег как поговорили потом он спать лег
da mozhno prodolzhat	да можно продолжать
urgo kong	большой начальник
mojemu urgo kong	моему начальнику
nu mozhno jesche skazat	ну можно еще сказать
digette krowat  di iʔbe kunolzitte	потом мы кровать поставили он лег спать
erten uʔbdebi bazo kambi bazajdeste bazajdebi	утром встал снова пошел мыться помылся
digette amorzitte amnobi digette kambi	потом сел есть потом ушел
miʔ maluʔpibeʔ	мы остались
digette miʔ amorbibaʔ fridaʔizi	потом мы поели с фридой
gette man deʔpiem plattam di dim jakshe abi	потом я принесла платье она его хорошо 
man sherbiem amnobiam	я надела его и сижу
digette tan shobial	потом ты пришел
avtobussi amnobibaʔ i kalla durbibaʔ	мы сели на автобус и уехали
diber gijen iʔgo il kuvas il	туда где много людей красивых людей
nu kabarlej man 	ну хорошо я…
sumna ibiʔi	было пять часов
miʔ shobibaʔ avtobuste	мы пришли на автобус
miʔnibeʔ amnobiʔi digette dizeng mabiʔi a miʔ kalla durbibaʔ ujarde	они нас посадили потом они ушли а мы поехали в уяр
din uzebibeʔ kambibaʔ	там мы вышли пошли 
man diʔne mandem don nuʔ	я ему говорю стой здесь
koʔbsang shonegaʔi man surarbiam dirgit il timneʔi	девушки идут я спросила вы знаете таких людей
dizeng familija nada manzitte	они  фамилию надо сказать
a man nomelleʔpiam	а я забыла
tolko timnem kade dizeng numejzitte	только знаю как их зовут
ilusha da marusa	илюша да маруся
digette malliam don nuʔ man kalam manderzitte	потом я говорю
shobiam oniʔ turande 	я пришла в один дом
don mande shindide naga	тут - говорит - никого нет
digette turane kambiam	тогда я пошла в другой дом
di mande dizeng manzi togonorliaʔi	а говорит они со мной работают
digette kanzebej man perlam	потом пойдем я покажу
kamen man shonegam don mandem man don ibiem	когда я пришла я сказала  я здесь была
digette kirgarlaʔbem kagane shoʔ dober kanzebej	тогда я крикнула брату
shobibeʔ i di sestra milleʔbe	мы пришли а та сестра идет
i kagat shobi din	и брат тоже туда пришел
shobibeʔ turane isho oniʔ shobi	мы пришли в дом еще один пришел
nujne nujleʔpibaʔ kudajde uzleʔpibaʔ	мы пели песни молились богу
i man iʔpiem kunolzitte dok amorbibaʔ toze	и я легла спать нет мы еще ели
digette man kunolzitte iʔpiem dizeng uge dabakterlaʔpiʔi	потом я легла спать они все еще говорили
digette erten uʔbdebibaʔ bazo amorbibaʔ	потом утром мы встали опять поели
digette kambibaʔ	потом мы пошли
din dirgit ze kuza di kagam man	туда такие же люди как он мой брат
din ibibeʔ diʔe shobibaʔ din kubibaʔ oniʔ 	мы пошли туда пришли оттуда там увидели одного немца
diber shobibaʔ din nujne nujleʔbebaʔ	мы туда пришли там песни пели
i kudajde numan uzleʔbebaʔ	и богу молились
digette parbibaʔ a 	потом мы вернулись а…
bazo amorbibaʔ digette kambibaʔ bazaj aktine	опять поели потом пошли на поезд
amnobibaʔ i kalla durbibaʔ krasnojarskende	мы сели и поехали в красноярск
i din kubibaʔ dirgit ze il kak man	и там мы видели таких же людей как мы
din shabibaʔ man plemannitsane shabiam	мы там переночевали я ночевала у племянницы
digette di kalla durbi shaste kagazangde	а он ушел спать к братьям
a man don maluʔpiam	а я осталась там
digette erten shobi	потом утром он пришел
dizeng miʔnibeʔ amnobibaʔ mashinane kambibaʔ gijen nergozitte nada	они посадили нас в машину и мы поехали туда где лететь надо 
diber shobibaʔ amnobibaʔ i nergola kambibaʔ navasibirskane	мы приехали туда сели и полетели в новосибирск
din toze dirgit il nemets	там тоже такие люди немцы
toze din nujne 	тоже там песни
shobiʔi isho dirgit il	пришли еще такие люди
erten uʔbdebibaʔ bazo amnobibaʔ mashinane	утром мы встали опять сели в машину
kambibaʔ bazo amnobibaʔ samalotte i shobibaʔ maskvane	мы поехали опять сели в самолет и прилетели в москву
bazo amnobibaʔ	там мы опять сели 
din ej oʔlieʔi miʔnibeʔ	там нас не пускали
miʔ amnobibaʔ kambibaʔ maskvane	мы сели и приехали в москву
din bazo shobibaʔ turane	там мы опять пришли в дом
din toze dirgit il verusheʔi	там тоже такие люди верующие
miʔ din ibibeʔ	мы там взяли 
digette man diʔne mandem kanzebej manzi	потом я ей сказала
digette mileʔi pangdeʔluʔi dak shobibaʔ	они дадут если напишут  что мы приехали
a man kuiol ulum bar	посмотри на мою голову
di mande kanaʔ diber din 	она говорит иди туда там…
diber shobibaʔ di toze manderbi	мы туда пришли она тоже посмотрела
digette pangdebi	потом написала
parbibaʔ amnobibaʔ i dober shobibaʔ talinde	мы вернулись сели и приехали сюда в таллин
digette don shabibaʔ	тут мы переночевали
erten uʔbdebibaʔ bazaj aktine amnobibaʔ i shobibaʔ tartu	утром встали сели на поезд и приехали тарту
din kambibaʔ gijen nina amnolaʔbe	там мы пришли туда где нина живет
gijen tan mana shobial	где ты ко мне пришел
a din maʔne naga	а ее не дома
digette di oniʔ nuke	потом одна женщина 
diber togonorlia balnitsagen	она там работает в больнице
man digette din maluʔpiam iʔbebiem kunolzitte digette uʔbdebiam kambibaʔ gijen dizeng kudajde numan uzlieʔi	я там осталась легла спать потом встала мы пошли туда где они молятся богу
digette diber nina shobi i mana ibi i miʔ diʔne kalla durbiem	потом туда пришла нина забрала меня и мы пошли к ней
i tam amnobiam	и там я жила
nagur nedela din amnobi	три недели там жила
digette bazo shobi arpit	потом опять пришел арпит
ibi mana	взял меня
bazo shobiʔi muktuʔ il	опять пришли шесть человек
nezeng i tibizeng shobiʔi man dizem badebiam digette amnobibaʔ i kalla durbibeʔ 	женщины и мужчины пришли я их покормила потом мы сели и поехали на 
din man shide nudi shabiam	там я провела две ночи
shide dala kudajde numan uzebiem	два дня богу молилась
nemseʔi ibiʔi digette ibiʔi kade manzitte ej timnem	были немцы были… как сказать не знаю
xaxoleʔi ibiʔi nujdlebiʔi  ugande kuvas sarlaʔpi garmonnane balalajkane	были украинцы они  очень красиво играли на гармони и на балалайке
kudajde numan uzebiʔi	богу молились
ugande kuvas ibi	очень красиво было
digette man toze mambiam kade man kudaj kubiam kade man uwerowal	потом я тоже рассказала как я увидела бога как я уверовала
toze diber kak teinen nubiam din	я стояла там как сегодня
bar norbebiem	все рассказала
digette norbebiem shobi krasnojarskegen kuza sadarbi	я рассказала человек приехал в красноярск он торговал смолой
a di ej sadarzitte a tolko manzitte kudaj	а он не торговать  а только проповедовать
i man digette diʔe kudajde saʔmeluʔpiam a kudajde numan uzebiem	и я тогда обратилась к богу молилась богу
dorbiam mandem dirgit ze kak di samaranka ibi sumna tibi ibi i man sumna ibi	я плакала говорила я такая же как та самарянка у нее было пять мужей и у меня было пять
kabarlej	хватит
i etogo ne znali erseʔ ne	и этого не знали как блудница
don toze il ej  dirgideʔi kak miʔ il ibiʔi	здесь люди тоже не ругаются они такие как наши люди были 
kamen unna amnobiʔi 	когда одни жили
diregeʔi ej ibiʔi	поселенцев не было
kamen diregeʔi shobiʔi wsakij mut-mat kudonzebiʔi	когда поселенцы пришли они по-всякому ругались
wsakoje wsakoje	всякое всякое
i erseʔ ne 	и ругались словом как блудница
a dirgit ze il ibiʔi kak don	а они были такие же люди как здесь
man kuliom don il ugande jaksheʔi	я вижу здесь люди очень хорошие
kuvazeʔi	красивые
kudajde numan uzelieʔi xot	хотя бы богу молятся
a miʔ il ugande ej jaksheʔi	а наши люди очень плохие
kudonzlaʔbeʔje kudajde kudonzlaʔbeʔje	ругаются бога ругают
kabarlej	хватит
amnolia man tonde man sused ugande tang kudonzlia	рядом со мной живет сосед он очень сильно ругается
kudajde kudonzlaʔbe	бога ругает
a man malliam kudaj kudaj prosti diʔne kuzane	а я говорю боже боже прости этого человека
ej jakshe di kuza	плохой это человек
xot kuzangde giber kanaʔ	хоть уши затыкай
digette miʔ mimbibeʔ din ni shobi	мы пошли его сон пришел
dagan tonde amnobibaʔ di manzi shobi	мы сели у реки он пошел с нами
digette miʔnibeʔ din kartachkane amnobiʔi amnobiʔi	потом нас там фотографировали
ibi matwejew jela ibi man ibiem isho ibi	был матвеев эля была я была еще кто-то был
nomelleʔpiem	я забыла
oniʔ shobibaʔ	один раз мы пришли
noʔ jaʔpibaʔ koʔbdozi	мы с дочкой сено косили
di mande tan shonegaʔi 	она говорит вон твои люди идут
a man boste isho mandem giber kandegalaʔ	а я сама еще говорю  куда вы идете
dizeng kak mana nuʔmeluʔpiʔi	они как побегут ко мне
oj urgaja shobi	ой бабушка пришла
digette man oniʔ koʔbdone shapku mibiem	потом я одной девушка косу отдала
bazo di mibiem	другой отдала
a miʔ nulaʔpibaʔ	а мы стоим
digette di miʔnibeʔ kartachkane snal	потом он нас сфотографировал
man toze dirgideʔi ige kartachkaʔi mande	у меня тоже такие фотографии есть дома
wot tut ja goworila giber kandegaʔi	вот тут я говорила куда они идут
