горовэ-э нулгӣчэвун.	долго аргишили.
эмэдерэ ēкунмал.	едут по направлению ко мне какие-то.
тозовкава га̄мэ.	взял тозовку.
"одяңа̄с, — гунифкӣл, — бригадир".	"будешь, — говорят: — бригадиром!"
уринэңнэрэв.	останавливаемся на однодневную стоянку.
ну, ургэ тэгэтчэрэн гулувунми дагадӯн эдынунми.	ну, беременная сидела у очага с мужем.
аминңэhэ, нуңандар на̄дан аңаниси бинэ, асин о̄сан.	покойный отец умер, когда ему было шестьдесят семь лет.
но, кунто опка̄нди, мо̄м гурудием обратно.	но, перевернув, сама буду грузить  обратно.
куӈакар әмәрә учамила̄.	дети приехали в учами.
****	****
а, для них?	а, для них?
так изредка.	так, изредка.
депдеӈкӣвун.	ели мы.
«эдӯ инилдерэс.	«здесь будете жить.
****	****
голово мōлаңнэрэвун, успеваттиңнэрэвун нāртэдӯ.	бревно готовим, дрова, успеваем на нартах.
пау.	
«эвунаи исефкэ̄сэ̄с»? — гуннэ.	«зачем ты показала?» — спросил .
ой, как орēллав.	ой, как мы закричали.
албача аһадямӣ.	не смог догнать.
****	****
о̄кир бакача̄с?»	когда нашел?»
****	****
тэгэконэм, мо̄лдӯ тэгэтчэрэн.	сел и сидит на дровах.
нуңан гунчэн:	она сказала:
ну уллэ, конечно, оллол тугэ.	ну, мясо, конечно, рыба так.
****	****
эрэ индеӈкӣвун на рыботочках калан, делимакит, перекат.	это, мы жили на рыботочках калан, делимакит, перекат.
хавалим хагдандула̄йӣ.	работала до старости.
просто дю нуӈардула̄тын оёлэ̄тын бурурэн, эдындерэкин hо̄мамат.	просто чум упал на них сверху, когда был очень сильный ветер.
«миндӯ бичэн... би hэгди бичэв, миндӯ бичэтын hутэлви уже.	«мне было... я взрослая была, у меня были дети уже.
уже hалгарин это, в землю проваливаются.	уже ноги у него в землю проваливаются.
колледжвэ этэрэн мирныйдӯ.	колледж закончил в мирном.
да.	да
аӈи, бӯнӣдерилвэ иргичилвэ до̄лдӣрэв.	это, воющих волков мы услышали.
вот тадӯ би и балдиса̄в.	вот там я и родился
бӯ пэктыруллэв.	мы выстрелили.
би тар до̄лдӣм аӈидерилвэ, бӯнӣдерилвэ ӈэ̄лэвсы-ко̄.	я это услышала, этих воющих страшно.
а уӈун тар часовнягит эмэпкӣ бичо.	а этот самый  из часовни приезжал.
тадук, ну, аямамат hэгдыhэсо куӈакан.	потом очень хорошо вырос ребенок.
тадук оленевод о̄дам мэ̄клойи.	потом оленеводом стал сам .
****	****
давай палаткаткӣ тукса̄хинам.	я давай бежать  к палатке.
эңнэкордӯ ӯчадяңкӣф хивудактӯ.	на телятах каталась верхом от скуки, от нечего делать.
вертолетил дэгиңкӣтын оленеводилдула̄.	вертолеты летали к оленеводам.
вот нуӈан потом опять тар же местола̄ эмэрэн.	вот он опять на то же место пришел.
дундэӈдулӣи hурурэн-да̄, «эртыкӣ-кэм дюлби бисётын», — гуннэ.	пошел по этой земле, думая: «вот в эту сторону мои чумы были».
эрукталиңкӣвун гиркуматпэл.	начинали проверять пешком.
бэелэ асир.	людей других нет.
****	****
ама̄ка̄н лукӣлон о̄са бэетко̄ндӯ, элэ нӣко̄р, уставатын.	дедушка сделал мальчику стрелы, все это самое , все.
тадук бэе эмэлчо дюмала̄.	потом человек пошел к чуму.
ламбара̄нэн.	прилепила.
тадук нуӈартын эта... hэвэкӣдӯ... гундерэн:	потом они... бог думает:
истанокил бэйэл экур уполномоченнийил гиркудяңкӣтын.	станки, люди эти, уполномоченные, ходили.
****	****
тэпкэлиӈкӣн:	звал:
ёсал-да̄, «бэеёй, этэкэл, этэкэл, этэкэл! — гулчэл тар бэевэ, алтасилчал. —	испугались и стали говорить тому человеку: «дружок, перестань, перестань перестань! — стали умолять. —
нуӈан мунэ тэвӯктэдесо̄н ило̄ та̄ла̄.	: нет в аудио.
— багдама орон эрӣгин аhӣс буслэ олдондӯн.	— пусть белый олень подышит твоей жене на больной бок.
тар это hа̄рги аӈин — ой, варак — только тэпкэhинэн.	черт, то есть сатана только крикнул:
би гунэлим:	я стала говорить:
вертолетил о̄ра, дэгрэ.	вертолеты это самое, прилетали.
мм.	м-м
тадук этырко̄нин будандэ̄, потаптула̄ hурурэн.	потом ее муж умер, и она уехала в потапово.
нуӈан hаӈӯктаса.	он спросил.
тадук шурая тымāнэктэван, эва, «буранилди» һуручол.	оттуда шура и его друзья это, на другой день на «буранах» уехали.
тадӯ больница бисо̄н.	там больница была.
ило̄ о̄да?	куда они делись?
тар hэлэ, тар hурумурэкин, олдан тарэ уӈтувунэ эhӣ тар бэе.	как только он улетел, тот человек стал делать бубен.
ну тар бэе, который ӈэнэдечо̄н.	ну тот человек, который шел.
так до зимы, зимой уже аргишим на одном месте.	так до зимы, зимой уже аргишим на одном месте.
ну там ганалчи-тэ hо̄ биӈкин бэе.	ну там стрелок-то он сильный был.
эдӯ индеӈкӣн минӈӣ эким, ольга ивановна, удыгир этырко̄ндулӣви.	здесь жила моя сестра старшая ольга ивановна, удыгир по мужу.
ага.	ага.
но индесо̄вун аят.	но жили мы хорошо.
оленеводил хуңту измени= изменирэ оронми иргихӣтпэ.	оленеводы другие изменили воспитание оленей.
чайтырэвун.	попили чай.
умуко̄н бэе, тутончанэган, миндӯ улгучо̄нэн эро.	один человек из тутончан мне рассказал это.
«он нян ӈэлифкэ̄нми ая бино̄н эр hутэлвон, минэ дэгивдо̄тын дундэткӣ, тарэ дюв дагала̄н?».	«как бы напугать было бы этих детей, чтобы они привезли на землю, возле моего чума?»
дядаңилва, дядаңилдӯ илэлдӯ ороройи буңкӣн нулгӣктэвунэтын, дебдо̄тын.	безоленным людям оленей своих давал аргишить, чтобы те ели.
би до̄лдӣм тар бӯнӣдерилвэ, аӈилва, ӈо̄нимилва.	я услышала этих воющих, длинных .
****	****
и вот мунэ тар северный таймура арчаран оллолди, бэйӈо̄лди, чипка̄рди.	и вот нас северная таймура встретила рыбой, дикими оленями, соболями.
нуңардӯтын кэтэ hутэлин бичэтын.	у них много детей было.
тадук хэлэ э-давэл этэрэ эрэ, бу хагданэв.	потом вот почему-то не стали, мы постарели
туксантеса-до̄ — тэтыгэ̄дукин, hогдондодукин дэгивуhисе эрдэло̄н яӈилтыкӣкӯн,иhэлдуло̄.	побежал — за одежду, за спину его совсем понес на горы, на камни.
тар место ая-тэ.	там место хорошее-то.
ну тогда hэвэкӣ гундерэн:	ну тогда бог говорит:
ичэчэлим.	стала смотреть.
hукулэ̄девкӣ.	лежит.
уллэ аямама бичо̄н.	мясо было очень хорошее.
умуко̄н тыгӣсе егин нямади дяпкундяр надысидӯн аӈанӣду эмэсо̄в.	в одна тысяча девятьсот восемьдесят седьмом году я приехал.
потаптулā ирэ̄мо̄дичэ̄в.	в потапово в гости я поехал.
всё равно уже почти что половину тугэ, hа̄лватын, аят эчэв hа̄рэ.	все равно уже почти что половину, так, некоторые  уже хорошо не помню.
экспедициядӯ hавалдэса̄н, hавалдэса̄тин.	он работал в экспедиции, они работали.
****	****
«тар hэлэ, hэлэ hуруктэ — гусё. —	«ну вот, пойду-ка, — подумал он. —
****	****
hот тарит но̄данчэдем».	хоть этим кину».
«нӣ эмэсе̄н?» — гусё.	спросил: «кто пришел?»
го̄сӣктаван hэлэ hурум армиела̄.	на следующий год вот пошел в армию.
тэгэтчэчо̄н.	сидел.
ну а би потом дагама̄м.	ну а я потом подошла.
****	****
тар ӈэлитнэ бэе, билдэн тар киӈгиттӯ.	человек стал жить у того кингита, боясь его.
а бучэн нуңан умукон тысяча йэгиндяр дяпкун нуңу... нуңи... нуңидӯ аңанидӯ.	а умерла она в одна тысяча девяносто  восемь  шестом году.
ну а нуӈан тэгэтмэ тадӯ эмэ̄нмучо̄н.	ну а он там остался, сидя.
ну индичōвун тāду дю̅лдутын, балокилдутын.	ну жили там в их домах, в их балках.
тариӈилби дяюка̄тчэвкӣ.	он прячет их потихоньку.
ну нуӈан гундерэн, что вот от этого, чтобы маленького пальмой рубили.	он говорил, что вот от этого, чтобы маленького пальмой рубили.
э̄-да̄ эдендэ?	почему нет?
этырко̄м гунэпкӣ.	мой муж говорит:
би hаңуктэдеча̄в эбэкэйэ аннадук миhайловнадук:	я спрашивала у бабушки анны михайловны:
****	****
таригит эмэчол бичо̄тын потаптула̄.	оттуда они приехали в потапово.
hактыривчу о̄дан.	темно стало.
hо̄вэ горово ганатма̄тча.	очень долго стрелялся.
лукӣлви савуриhиса-да̄ лупоро̄са.	стрелы взял и вышел на улицу.
оӈкодёро.	пасутся.
hэвэкӣ дявусадяса-тэ нуӈанман.	бог ее держал.
тадӯ это, ичэтчэм-дэ̄.	там посмотрю.
hурупкӣко̄кун, илкэ̄ндепкӣ.	уходя, они делали зарубки.
эвкӣл эйдэрэ нуӈанман.	его не замечают.
грибылва та̄пдяра.	грибы собирают.
тадук до̄лдӣм тэпкэ̄рвэ.	потом услышала крики.
и ӈинакир миннун сурурэ, ёлки.	и собаки со мной пошли.
****	****
тāдӯ һāлвэтын тaйим: знакомыелби бичōл.	там некоторых узнал: знакомые мои были.
ичэм: волка удялин тадӯ везде ча̄гит.	увидел: следы волка там везде, с той стороны неподалеку.
дундэло̄ эмэврэн и гундерэн:	на землю привел и говорит:
это hуюкуко̄н гē, игдямака̄н.	маленький другой, рыженький {цвет совсем маленьких лосят}.
тариӈми ганасивкӣ-да̄, идӯ-до̄ эвкӣ на̄вканэ.	стрелял в него, никуда не попадая.
би уситтяса̄в дяпкун класстӯ.	я училась в восьмом классе.
hутэлин-да̄ монин-да̄ ёсал эрэгэрит.	дети же сами очень испугались.
аhӣв гэрбӣн маша.	жену зовут (=жены имя) маша.
****	****
южной таймурава да̄грав баргида̄ван.	южную таймуру перешли, на другой берег поднялись.
гошаядӯ, наверное, тадӯ куӣко̄тчэркэл, кикитчал.	у гоши, наверное, там дрались, покусали.
удялтын ачир.	следов нет.
потом гēва мо̄тыва ичэрэв.	потом видели другого лося.
тадук болонӣвэ тагӣктам, орорво го̄тадяна.	потом всю осень пас (оленей), изгородь делал.
дэгилдэ дюткӣкӯнмэр тар киӈгит hутэлин.	полетели себе домой дети кингита.
интернаттӯ хавалча̄в.	в интернате я работала.
амардулӣвун аһача бригадиритын.	по нашему следу гнался их бригадир.
аӈулда, диволда, гуннэ:	стали удивляться, думая:
тадук тогоӈнэрэв дявилтыки и шуруӈнэрэв ошолоки улумикиттики.	потом садимся в лодки и уходим вверх по течению к промысловым местам.
дяваттэн нуӈарватын.	похватал их.
ой, нуӈартын гара тыгэвэр.	ой, они взяли свою посуду.
****	****
****	****
тадук до̄лдӣрэн энӣӈэhэв:	потом услыхала мать покойная:
стāдэвэтын дарӣлӣ нэнэчо бэгэ̄м, дарӣлэ дю̅тāдечэ̄л.	их стадо стороной я проехал, в стороне были в чуме.
кирэ, ңо!	фу, вонь!
туӈ никэсэ-да̄, hэлэ би эhӣкоко̄н нуӈарватын ӈо̄лэфко̄ндеӈо̄в», —	«делая так, я их сейчас испугаю», —
нуӈан гундерэн:	она говорит:
уставан манавкӣ, ва̄вкӣ.	всех приканчивал, убивал.
«"койно биhим" — гундерэн».	«говорит, что заблудился».
поэтому тогда аямамат абгара̄л биӈкӣвун.	поэтому очень хорошо здоровые были.
куӈакан тар моӈӣлди лукӣлди куӈакар hутэлвэтын hоёлдулӣтын гарпануса̄н,	тот ребенок пошел стрелять своими стрелами детей в лоб,
орор эдӯ же эмэчулэ .	олени пришли сюда.
кабинэтэлдӯ тэгэттанэ эдиңо биңкӣв гороё .	в кабинетах сидя, не мог там долго .
тэр...вэгин эрэ перестройкало̄ӈаhӣтын, то̄лӣ hэлэ ӣн эрувсю осян эдӯ, екэӈдэдӯ, перестройкадяӈаhӣтын.	в то время, когда была перестройка, тогда вот жизнь плохой стала здесь, в эконде, когда перестраивались.
би тугэ аӈидяӈнам , дюла̄и ӈэнэдеӈнэм толгокӣлдӯ... толгокӣдӯ.	я зимой это , домой еду на санях.
тэтыгалин асир, ēкунда асин.	у него (=его) одежды нет, ничего нет.
орорди бидянэ, орорво тахӣктадядяңа̄с.	с оленями находясь, оленей выпасать (=перегонять) будешь.
лекарстваңилтин ңо̄пчу.	лекарства их (оленей) вонючие.
****	****
****	****
орорво унятча̄вун тиңариңэ.	оленей продали в прошлом году.
орорди сурурэв.	оленями поехали.
****	****
ӈо̄лэлим аха.	я испугалась, ага.
аяка̄нди уйдэн ухӣко̄кунди.	хорошенько связал веревкой.
ӈэнэктэдендэ тадӯ нуӈанман.	поведу-ка его туда.
туша̄л улдэлви столько.	туши, мяса моего столько.
тар исевкэ̄сё, «эр бидерэ!», — гуннэ.	она показала, говоря: «вот они!»
оводылвэ уставан ва̄сифкӣл э э̄курди, брызгователди.	оводов всех убивают этими, брызгателями.
потом буссэлдэн ленинградтӯ, эмэрэн дюла̄и.	потом она заболела в ленинграде и приехала домой.
ēкука̄кун-мэл, гундерэн, hэлэмэ чипича до̄рэн hэгдымэмэ, гиргинадяна.	какая-то, говорит, железная огромная птица села, позвякивая.
hэвэкӣ hэлэ аӈилдук, ситалдук одявкӣ бисе бэелбэ.	бог вот из этого самого, из глины делал людей.
нет.	нет.
тар бэӣтчэрэн тар демӈэнэдукпи.	он мстит за свои объедки.
так тугэ, просто, дебдо̄вэр, дебдо̄вэр, гэлэ̄ктэдечо̄вун бэйӈо̄лэ, нулгӣктэденэл.	так просто, чтобы поесть, чтобы поесть, искали диких оленей, пока аргишили.
"хинңӣс опытис хэгди".	"у тебя опыт большой".
hаңэдефкӣл депдо̄вэр, нулгиктэдедо̄вэр.	следовали за ним, чтобы есть, кочевать.
пэктэрониңнэндэ сипканмэ.	стреляешь соболя.
«hэлэ, ӈэнэдекэлду.	«вот, идите.
эвкӣ hилбэрэ ама̄ка̄.	не рассказывает дедушка.
нонон аӈӣнкӣф неӈненӣт мо̄лэ оёнмуно̄ӈкӣф.	перед этим это делал, весной дрова сплавлял, несколько раз ходил.
ну бидеӈкӣвун так-то эрупчут.	ну, жили мы так-то трудно.
а эрэвэр школьник бичо̄н исколэ дудинкадӯ.	а этот  школьник был в школе, в дудинке.
минӈӣ сестрав hэгдымэр турская христина дмитриевна эдӯ hавалча̄н.	моя старшая сестра турская христина дмитриевна работала здесь.
войнадук бичо̄н куйкӣ.	с войны был глухим.
угискӣко̄н дэгилипкӣ дундэ.	земля летит вверх.
кэргэhэлин эрэгэрит hокорсёл, «ило̄ одан эр? — гуннэ, —	семья совсем  потеряла, говоря: «куда он делся?
тадук энинмэс hуруврэ.	потом твою мать увезли.
****	****
дядя амаскӣ hурурэн.	дядя позади поехал.
бороӈкон гэрбӣсӣ амакав, бисён муктэӈу(л)дук.	дед по имени боронгкон был из рода мукта.
hамнӣhэлэ оро... ол... о̄лиңнэм.	дымокуры делаю.
бадаралтин бадарами-тэ, — гунифкӣ, — дундэвэ.	"лесные пожары, поджигать лес стали",  — говорит .
ну, илэдыт.	ну, по-эвенкийски
****	****
то̄лӣ амӣм орирэн hама̄нмэ утокогир баhилайвэ.	тогда отец позвал шамана утокогира василия.
такую даль эхӣ.	такую даль сейчас.
hомо̄тыва би расскажу, он ва̄ча̄в.	медведя я расскажу, как убил.
палаткала̄ дагама̄ллавун:	стали подъезжать к палатке:
****	****
«э̄, тунӈава бэева hиhур... кэп... э̄, уим.	«о, пятерых мужчин я связал.
****	****
удядӯ hинэ бэлэдям, ну, защищательдем.	по дороге буду тебе помогать, защищать».
он о̄дям би?»	как буду?»
халгартин кэпусол бисо̄тин.	ноги их опухшие были.
тугэнӣвэ тагӣктаравун мартэлдула̄.	всю зиму пасли, до марта.
«кэ, пэктырэ̄кэл, бэе!»	«давай, стреляй, парень!»
горово бикэнэм, hэвэкӣ эмэрэн.	бог пришел после долгого отсутствия.
эр портала̄ эмэллэв —	стали подходить к этому аэропорту —
албарав эя-да̄ аӈидями, ва̄дями, ни бэйӈо̄л.	не могли ничего добыть, ни дикого оленя.
хоктэлвэр тэр нуӈартын эсэл ха̄рэ.	дорогу свою они не знают.
вертолеттӯ дәгилдәв.	на вертолете мы полетели.
тартыкӣ туктыhинэн.	залез туда.
уллӣдеӈкӣн коколлолва аӈидук, ирэксэдук.	она шила рукавицы из этого самого, из ровдуги.
выходной	выходной
их же, нямалчада, эдын асин.	их же , прояснилось, ветра нет.
****	****
все.	все.
амӣм то̄лӣ буслэлчо̄ бисё̄н.	отец тогда заболел.
****	****
дюктэкон индевкӣл.	вдвоем жили.
hукулэ̄дерэ, hукулэ̄дерэ.	лежат, лежат.
эпэт hурурэн.	опять ушел.
даже гунипкӣл избушка гуру, избушкабал эчол эмонэ, что ли.	даже, говорят, избушку какую-то не оставили, что ли.
туӈ никэвкӣ-да̄, ēкун-мал мӯян гэнно̄вкӣ идук-пэл бисё.	делая так, ходил ему  за водой.
акӣм бисо̄н, алекса̄ гэрбин, александр.	у меня был старший брат по имени алекса, александр.
****	****
ну умно̄т аӈиран, пэктырэ̄нэн нуӈанман.	ну сразу это, выстрелил в него.
нуӈан гунэн:	он сказал:
потом долдым, «м-м-м» некэдерӣвэ.	потом услышала, как делает «ммм».
то ая, аямамат долса̄тча-дэ̄:	хорошенько прислушалась:
****	****
ē бихэ.	да, они  есть.
бӯнӣллэ тарэ аӈил, ӈо̄нимил.	завыли эти «длинные».
больше омӈом.	больше не помню.
этырко̄нин нуӈанӈӣн удыгир владимир константинович.	ее муж — удыгир владимир константинович.
****	****
****	****
ну эхӣ эхӣ эхӣтэ город тадӯ.	ну сейчас, сейчас-то город там.
тадӯ марил, якталӣ дынӈӣлэ̄чо тадӯ.	там кусты, вдоль ручья он бежал там.
тэрэhэ̄денэ, туксаhисе нуӈанман.	побежав, колотит его.
«да, би, — гундерэн — амутва упкатван hурупда̄и, тар hунӈӣ тыгэhун hуюкӯн эӈэнӣ».	«да, — говорит, — я все озеро принести , но ваша посуда слишком маленькая».
ичэчэлим аямамат.	я стала хорошенько смотреть.
ну, бедненько	ну, бедненько
да.	да.
— то̄лӣко̄ркэ, бэе, илмактал хуна̄тка̄рвэ ахакталиӈкӣн, — гунденэл.	говоря: "тогда-то, человек , молодых девушек гонял он"
ӯчакки дявамалчам, мэнӈӣви ӯчакки.	учака схватила, своего учака.
«амаргӯт о̄кинмэл эмэдем.	«позже я приду.
hэлэ, думайдяна, думайдяна, тар бэе аӈча.	вот этот человек думал, думал и это...
нуӈандӯн тарэ hава̄линэ правителство бусён дюр орденмэ трудовой славы, второй, третьей степени.	ему это за работу правительство дало два ордена трудовой славы, второй и третьей степени.
"эр экспедициял о̄ра hутэлвэв буфконэ.	"эти экспедиции сделали, моих детей задушили.
һōйдук мучӯча.	из тундры вернулся.
однажды, умно̄ этырко̄м, умно̄ этырко̄м аӈиран, бакаран абдунма.	однажды мой муж это самое, нашел берлогу.
«иниhилдерэс!	«живите!
тадук hуидыгиф аhатканӈиф дюга балдиран, валя гэрбӣси.	потом младшенькая девочка летом родилась, валя по имени.
****	****
****	****
мо̄лкэвутчам.	мне померещились призраки.
бурдука а̄син.	муки нет.
hа̄рги-лувар-ка, тар исесё-до̄, тумниса дэрэлдӯтын тариӈилдӯн, тар hэвэкӣ бэеӈилдӯн.	черт-то, когда их увидел, плюнул на их лица, на лица этих самых, людей бога.
уто̄лэ-тэ эhӣ-дэ орордӯйӣ hердӯтын, hе̄рватын минэфкӣл эдэвэр hокордэ... hокормӣ тарво оронэ, бакада̄тын, бакада̄вэр.	раньше и сейчас оленям на ушах, уши режут, чтобы не потерять, если потеряют этого , найти чтобы, чтобы найти.
тэр эӈнэко̄рвэ нуӈардула̄тын тастяса̄вун, оhотникилдӯ буттотын, булта̄мнилдӯ.	тех телят мы к ним гнали, чтобы они раздали охотникам, охотникам.
эрупчу хуруврэн.	плохо, увез он.
долбо тадӯ иhэлдӯ нуӈарнунтын а̄вкӣ.	ночью там на камнях с ними спит.
****	****
тар hэлэ умно гэнно̄hисё, бэелвэ оканэм, аӈъя, мӯя.	вот это, однажды бог, сделав людей, пошел за этой самой, за водой.
«ӣла нуӈартын о̄ра?	«куда они делись?
«огдоскэ̄!»	«дуся!»
игаркадук эло̄ приходили орорак угуччанал хантайкала̄, тар хинэ нянчитчикаеми.	из игарки сюда переходили, ехав верхом на оленях, в хантайку, когда тебя  я нянчила.
тогда то̄лӣ ичэно̄синэв севернай таймурала̄.	тогда, тогда поехали посмотреть на северную таймуру.
то̄лӣ ӈинакин туро̄си бисё.	тогда у собаки была речь.
и вот би туг хавалим.	и вот так я работала.
тадӯ би исдечэв: нуңан бичэн э балдичан примэрно умукон тысяча дяпкундяр дяпкун нуңидӯ аңанидӯ.	там я видела: она родилась в тысяча восемьдесят  восемь  шестом году.
яӈка̄кӯндула̄ эмэвсо, иhэлдула̄.	на горы принесла, на камни.
би-кэ чо.	я-то что.
****	****
«тэгэкэл!	«садись!
нуӈан даже гуниӈкӣн, в берлогэ эпко̄ ва̄рэ... абачӣ.	он даже говорил, в берлоге нельзя убивать... медведь.
дюн ачин эчэ аӈидяра, о̄пдерэ.	чум не построен.
hо̄дыh тарэ орорво таhиктамнитын эрэ екэӈдэвон.	он лучший пастух оленей в эконде (=экондинец).
а тāлā телеграммувэ бакачāл потом уже, ушли, когда уж давно һаваичалāвун.	а там телеграмму нашли потом уже, когда уже мы давно ушли гулять.
аямамат охотилсядеча̄в.	очень хорошо охотился.
и вот гунэн:	и вот он сказал:
и все.	и все.
ча̄скӣ hурурэвун.	дальше пошли.
тартики угусакит хуруңнэндэ.	туда верховым идешь
мо̄ртын, мо̄ртын ачир.	самих нет.
****	****
туӈадян орорво.	пятьдесят оленей
потому что эрупчуе дептылэе, который эсӣко̄тко̄н депдеӈнэрэ, эӈкӣвун деврэ.	потому что плохую еду, которую сейчас едят, мы не ели.
ну и эмэпчо̄тын нуӈанман ербэкэдӯ.	ну и привезли его в ербогачен.
тар амӣӈаhав эмэрэн омолгӣнун {степан тыптагир}.	отец покойный приехал с молодым человеком {степан тыптагир}.
городтула̄ индям, дудинкадӯ.	в городе живу, в дудинке.
хэгды, кэтэ оросӣл эвэнкӣл hутэлдӯвэр анаңилэтын эңкӣтын, бӯңкӣтын нямисанэ.	эвенки, у которых много оленей, это делали, давали своим детям важенку.
тарит-дэ̄ нуӈан гундерэн:	потом он говорит:
тадук тариӈин...	потом тот...
акинми андрей бусэн миндӯ дяпкун ирэксэвэ элдӯндайи о̄дав.	старший брат мой андрей дал мне восемь шкур покрышку чума сделать.
иртыкӣ бирэн дюс?»	где находится твой дом?»
ӈэнэденэ, ӈэнэденэ, дюкчалвэ исесё дундэгэсин-тэ̄.	шел, шел и увидел чумы, как на земле.
куңа= ңэнэвуңкӣф бэйэлво.	я возил людей.
орохэмэ, орон хэгди умнэй.	что касается оленя, олень очень умный.
hурур... ачир о̄ра.	не стало их.
улдэӈилтын локусадявкӣл тулӣло̄.	мясо их висит на улице.
надо с утра же хурурэктын.	надо с утра же ехать .
ну, аят бидеӈкӣвун.	ну, хорошо мы жили.
конечно, конечно, все время.	конечно-конечно, все время.
но пэктыро̄кэл аямамат».	но стреляй очень хорошо».
дяндук дюлдо хэлэ-кэ ңэнэдеңо̄̄тын.	за двенадцать дней доедут.
энӣңэhэ гуниңкӣн:	покойная мать говорила:
hурурэ эрдэло̄н.	ушли совсем.
абачӣ тэгэрэн.	медведь сел.
гаса мо̄ка̄нмэ, гуннэ:	взяла полешко, думая:
— тар киӈгит гусё.	— сказал тот кингит.
бӯнӣллэ-hэ урэгэ̄ндӯ, урэгэ̄н оёдӯн.	завыли на горе, на вершине горы.
тадук дудинкала̄ хурум.	потом в дудинку поехала.
туңивэ-нэ миндӯ ту= туңэва отмэткава бӯпкӣл, пятёркэлвэ полушишя̄в, энэ гирамэтнэ бихэ, монңӣтпӣ опытитпӣ хавалнатпӣ орон хававан.	пятерку вот, мне отметку пятерку дают, пятерки получал, будучи неграмотным, со своим опытом, с проделанной  оленьей работой.
туруhанскэдук целый аңанӣвэ эмэдэфкӣ ңэкэндэла̄.	из туруханска целый год возвращалась в эконду.
«эдес дэгивуhинэ-да̄, эрит ваттиӈа̄в hунэ» — гусё.	«если не унесете, поубиваю вас этим», — сказал.
«он кэден ёпу бирэ, тарба бэевэ иргӣтчэрӣ нуӈан?»	«как же ему , кормившему того человека, не быть жидким?»
****	****
да.	да.
hэвэкӣ hурурэн.	бог ушел.
ēкунка, наверное, ӈинакир кикиркал, куӣко̄тчэнэл.	это самое, наверное, собаки покусали, когда дрались.
эвэдыт турондерэв.	по-эвенкийски разговариваю.
амиңэhэв эфкӣ мэниклэйӣ бу... буфки пушниктӯ.	отец покойный это самое делает, за себя сдает приемщику пушнины.
«эва эчэсун еще горово̄ нулгидисун?»	«почему вы еще не сделали, долго так аргишите?»
****	****
потом ахӣларэн.	потом он женился.
ило̄ идӯ, тадӯ та̄ла̄ хурупкӣ, тара хурупкӣ.	куда, где, там, туда пойдет, сюда пойдет.
амӣм эмэдерэн.	отец мой идет.
эмэнмурэ нэкурви ахамил.	остались младшие мои сестры.
нуӈан а̄дерэн.	он спит.
«койнонун-тэ бирокин, улӣкэл, — гусё, —	«раз заблудился, накорми, — сказал, —
опять тоже о̄hӣктака̄рди опкӣ.	опять становится звездочками.
никӣсе̄рэ эмэвувкӣ.	уточек приносит.
тарэ дяпкун класпэ манаса̄в тутончанэдӯ.	восемь классов закончил в тутончанах.
****	****
эхӣ полно бинорэ, наверное.	сейчас их полно, наверное.
