gorowe-e nulgichewun	долго аргишили
josal-da bejejoj etekel etekel etekel gulchel tar bejewe altasilchal	испугались и стали говорить тому человеку дружок перестань перестань перестань стали умолять
nungan mune tewuktedeson ilo tala	он возил нас туда-сюда 
bagdama oron erigin ahis busle oldondun	пусть белый олень подышит твоей жене на больной бок
tar eto hargi angin oj warak tolko tepkehinen	черт то есть сатана только крикнул
bi gunelim	я стала говорить
wertoletil ora degre	вертолеты это самое прилетали
mm	м-м
taduk etyrkonin budande potaptula hururen	потом ее муж умер и она уехала в потапово
nungan hanguktasa	он спросил
taduk shuraja tymanektewan ewa buranildi һuruchol	оттуда шура и его друзья это на другой день на буранах уехали
tadu bolnitsa bison	там больница была
ilo oda	куда они делись
tar hele tar hurumurekin oldan tare ungtuwune ehi tar beje	как только он улетел тот человек стал делать бубен
nu tar beje kotoryj ngenedechon	ну тот человек который шел
tak do zimy zimoj uzhe argishim na odnom meste	так до зимы зимой уже аргишим на одном месте
nu tam ganalchi-te ho bingkin beje	ну там стрелок-то он сильный был
edu indengkin minngi ekim olga iwanowna udygir etyrkonduliwi	здесь жила моя сестра старшая ольга ивановна удыгир по мужу
aga	ага
no indesowun ajat	но жили мы хорошо
olenewodil hungtu izmeni izmenire oronmi irgihitpe	оленеводы другие изменили воспитание оленей
chajtyrewun	попили чай
umukon beje tutonchanegan mindu ulguchonen ero	один человек из тутончан мне рассказал это
on nan ngelifkenmi aja binon er hutelwon mine degiwdotyn dundetki tare duw dagalan	как бы напугать было бы этих детей чтобы они привезли на землю возле моего чума
dadangilwa dadangildu ileldu ororoji bungkin nulgiktewunetyn debdotyn	безоленным людям оленей своих давал аргишить чтобы те ели
bi doldim tar buniderilwe angilwa ngonimilwa	я услышала этих воющих длинных 
i wot mune tar sewernyj tajmura archaran olloldi bejngoldi chipkardi	и вот нас северная таймура встретила рыбой дикими оленями соболями
nungardutyn kete hutelin bichetyn	у них много детей было
taduk hele e-dawel etere ere bu hagdanew	потом вот почему-то не стали мы постарели
tuksantesa-do tetygedukin hogdondodukin degiwuhise erdelon jangiltykikun iheldulo	побежал за одежду за спину его совсем понес на горы на камни
tar mesto aja-te	там место хорошее-то
nu togda heweki gunderen	ну тогда бог говорит
ichechelim	стала смотреть
hukuledewki	лежит
ulle ajamama bichon	мясо было очень хорошее
umukon tygise jegin namadi dapkundar nadysidun anganidu emesow	в одна тысяча девятьсот восемьдесят седьмом году я приехал
potaptula iremodichew	в потапово в гости я поехал
wso rawno uzhe pochti chto polowinu tuge halwatyn ajat echew hare	все равно уже почти что половину так некоторые уже хорошо не помню
ekspeditsijadu hawaldesan hawaldesatin	он работал в экспедиции они работали
tar hele hele hurukte guso	ну вот пойду-ка подумал он
hot tarit nodanchedem	хоть этим кину
ni emesen guso	спросил кто пришел
gosiktawan hele hurum armijela	на следующий год вот пошел в армию
tegetchechon	сидел
nu a bi potom dagamam	ну а я потом подошла
tar ngelitne beje bilden tar kinggittu	человек стал жить у того кингита боясь его
a buchen nungan umukon tysacha jegindar dapkun nungu   nungi   nungidu anganidu	а умерла она в одна тысяча девяносто восемь шестом году
nu a nungan tegetme tadu emenmuchon	ну а он там остался сидя
nu indichowun tadu du̅ldutyn balokildutyn	ну жили там в их домах в их балках
taringilbi dajukatchewki	он прячет их потихоньку
nu nungan gunderen chto wot ot etogo chtoby malenkogo palmoj rubili	он говорил что вот от этого чтобы маленького пальмой рубили
e-da edende	почему нет
etyrkom gunepki	мой муж говорит
bi hanguktedechaw ebekeje annaduk mihajlownaduk	я спрашивала у бабушки анны михайловны
tarigit emechol bichotyn potaptula	оттуда они приехали в потапово
haktyriwchu odan	темно стало
howe gorowo ganatmatcha	очень долго стрелялся
lukilwi sawurihisa-da luporosa	стрелы взял и вышел на улицу
ongkodoro	пасутся
heweki dawusadasa-te nunganman	бог ее держал
tadu eto ichetchem-de	там посмотрю
hurupkikokun ilkendepki	уходя они делали зарубки
ewkil ejdere nunganman	его не замечают
gribylwa tapdara	грибы собирают
taduk doldim tepkerwe	потом услышала крики
i nginakir minnun surure jolki	и собаки со мной пошли
tadu һalwetyn tajim znakomyjelbi bichol	там некоторых узнал знакомые мои были
ichem wolka udalin tadu wezde chagit	увидел следы волка там везде с той стороны неподалеку
dundelo emewren i gunderen	на землю привел и говорит
eto hujukukon ge igdamakan	маленький другой рыженький 
taringmi ganasiwki-da idu-do ewki nawkane	стрелял в него никуда не попадая
bi usittasaw dapkun klasstu	я училась в восьмом классе
hutelin-da monin-da josal eregerit	дети же сами очень испугались
ahiw gerbin masha	жену зовут маша
juzhnoj tajmurawa dagraw bargidawan	южную таймуру перешли на другой берег поднялись
goshajadu nawernoje tadu kuikotcherkel kikitchal	у гоши наверное там дрались покусали
udaltyn achir	следов нет
potom gewa motywa icherew	потом видели другого лося
taduk boloniwe tagiktam ororwo gotadana	потом всю осень пас  изгородь делал
degilde dutkikunmer tar kinggit hutelin	полетели себе домой дети кингита
internattu hawalchaw	в интернате я работала
amarduliwun aһacha brigadirityn	по нашему следу гнался их бригадир
angulda diwolda gunne	стали удивляться думая
taduk togongnerew dawiltyki i shurungnerew osholoki ulumikittiki	потом садимся в лодки и уходим вверх по течению к промысловым местам
dawatten nungarwatyn	похватал их
oj nungartyn gara tygewer	ой они взяли свою посуду
taduk doldiren eningehew	потом услыхала мать покойная
stadewetyn darili nenecho begem darile du̅tadechel	их стадо стороной я проехал в стороне были в чуме
kire ngo	фу вонь
tung nikese-da hele bi ehikokon nungarwatyn ngolefkondengow	делая так я их сейчас испугаю
nungan gunderen	она говорит
ustawan manawki wawki	всех приканчивал убивал
kojno bihim gunderen	говорит что заблудился
poetomu togda ajamamat abgaral bingkiwun	поэтому очень хорошо здоровые были
kungakan tar mongildi lukildi kungakar hutelwetyn hojoldulityn garpanusan	тот ребенок пошел стрелять своими стрелами детей в лоб
oror edu zhe emechule 	олени пришли сюда
kabineteldu tegettane edingo bingkiw gorojo 	в кабинетах сидя не мог там долго 
ter   wegin ere perestrojkalongahityn toli hele in eruwsu osan edu jekengdedu perestrojkadangahityn	в то время когда была перестройка тогда вот жизнь плохой стала здесь в эконде когда перестраивались
bi tuge angidangnam  dulai ngenedengnem tolgokildu   tolgokidu	я зимой это  домой еду на санях
tetygalin asir ekunda asin	у него одежды нет ничего нет
orordi bidane ororwo tahiktadadangas	с оленями находясь оленей выпасать будешь
lekarstwangiltin ngopchu	лекарства их вонючие
ororwo unatchawun tingaringe	оленей продали в прошлом году
orordi sururew	оленями поехали
ngolelim aha	я испугалась ага
ajakandi ujden uhikokundi	хорошенько связал веревкой
ngenektedende tadu nunganman	поведу-ка его туда
tushal uldelwi stolko	туши мяса моего столько
tar isewkeso er bidere gunne	она показала говоря вот они
owodylwe ustawan wasifkil e ekurdi bryzgowateldi	оводов всех убивают этими брызгателями
potom busselden leningradtu emeren dulai	потом она заболела в ленинграде и приехала домой
ekukakun-mel gunderen heleme chipicha doren hegdymeme girginadana	какая-то говорит железная огромная птица села позвякивая
heweki hele angilduk sitalduk odawki bise bejelbe	бог вот из этого самого из глины делал людей
net	нет
tar beitcheren tar demngenedukpi	он мстит за свои объедки
tak tuge prosto debdower debdower gelektedechowun bejngole nulgiktedenel	так просто чтобы поесть чтобы поесть искали диких оленей пока аргишили
hinngis opytis hegdi	у тебя опыт большой
hangedefkil depdower nulgiktededower	следовали за ним чтобы есть кочевать
pekteroningnende sipkanme	стреляешь соболя
hele ngenedekeldu	вот идите
ewki hilbere amaka	не рассказывает дедушка
nonon anginkif nengnenit mole ojonmunongkif	перед этим это делал весной дрова сплавлял несколько раз ходил
nu bidengkiwun tak-to erupchut	ну жили мы так-то трудно
a erewer shkolnik bichon iskole dudinkadu	а этот школьник был в школе в дудинке
minngi sestraw hegdymer turskaja hristina dmitrijewna edu hawalchan	моя старшая сестра турская христина дмитриевна работала здесь
wojnaduk bichon kujki	с войны был глухим
ugiskikon degilipki dunde	земля летит вверх
kergehelin eregerit hokorsol ilo odan er gunne	семья совсем потеряла говоря куда он делся
taduk eninmes huruwre	потом твою мать увезли
dada amaski hururen	дядя позади поехал
borongkon gerbisi amakaw bison muktenguduk	дед по имени боронгкон был из рода мукта
hamnihele oro   ol   olingnem	дымокуры делаю
badaraltin badarami-te gunifki dundewe	лесные пожары поджигать лес стали говорит 
nu iledyt	ну по-эвенкийски
toli amim oriren hamanme utokogir bahilajwe	тогда отец позвал шамана утокогира василия
takuju dal ehi	такую даль сейчас
homotywa bi rasskazhu on wachaw	медведя я расскажу как убил
palatkala dagamallawun	стали подъезжать к палатке
e tunngawa bejewa hihur   kep   e uim	о пятерых мужчин я связал
udadu hine beledam nu zaschischateldem	по дороге буду тебе помогать защищать
on odam bi	как буду
halgartin kepusol bisotin	ноги их опухшие были
tugeniwe tagiktarawun marteldula	всю зиму пасли до марта
ke pektyrekel beje	давай стреляй парень
gorowo bikenem heweki emeren	бог пришел после долгого отсутствия
er portala emellew	стали подходить к этому аэропорту
albaraw eja-da angidami wadami ni bejngol	не могли ничего добыть ни дикого оленя
hoktelwer ter nungartyn esel hare	дорогу свою они не знают
wertolettu dәgildәw	на вертолете мы полетели
tartyki tuktyhinen	залез туда
ullidengkin kokollolwa angiduk irekseduk	она шила рукавицы из этого самого из ровдуги
wyhodnoj	выходной
ih zhe namalchada edyn asin	их же  прояснилось ветра нет
wse	все
amim toli buslelcho bison	отец тогда заболел
duktekon indewkil	вдвоем жили
hukuledere hukuledere	лежат лежат
epet hururen	опять ушел
dazhe gunipkil izbushka guru izbushkabal echol emone chto li	даже говорят избушку какую-то не оставили что ли
tung nikewki-da ekun-mal mujan gennowki iduk-pel biso	делая так ходил ему за водой
akim bison aleksa gerbin aleksandr	у меня был старший брат по имени алекса александр
nu umnot angiran pektyrenen nunganman	ну сразу это выстрелил в него
nungan gunen	он сказал
potom doldym m-m-m nekederiwe	потом услышала как делает ммм
to aja ajamamat dolsatcha-de	хорошенько прислушалась
e bihe	да они есть
bunille tare angil ngonimil	завыли эти длинные
bolshe omngom	больше не помню
etyrkonin nunganngin udygir wladimir konstantinowich	ее муж удыгир владимир константинович
nu ehi ehi ehite gorod tadu	ну сейчас сейчас-то город там
tadu maril jaktali dynngilecho tadu	там кусты вдоль ручья он бежал там
terehedene tuksahise nunganman	побежав колотит его
da bi gunderen amutwa upkatwan hurupdai tar hunngi tygehun hujukun engeni	да говорит я все озеро принести  но ваша посуда слишком маленькая
ichechelim ajamamat	я стала хорошенько смотреть
nu bednenko	ну бедненько
da	да
tolikorke beje ilmaktal hunatkarwe ahaktalingkin gundenel	говоря тогда-то человек  молодых девушек гонял он
uchakki dawamalcham menngiwi uchakki	учака схватила своего учака
amargut okinmel emedem	позже я приду
hele dumajdana dumajdana tar beje angcha	вот этот человек думал думал и это  
nungandun tare hawaline prawitelstwo buson dur ordenme trudowoj slawy wtoroj tretjej stepeni	ему это за работу правительство дало два ордена трудовой славы второй и третьей степени
er ekspeditsijal ora hutelwew bufkone	эти экспедиции сделали моих детей задушили
һojduk muchucha	из тундры вернулся
odnazhdy umno etyrkom umno etyrkom angiran bakaran abdunma	однажды мой муж это самое нашел берлогу
inihilderes	живите
taduk huidygif ahatkanngif duga baldiran wala gerbisi	потом младшенькая девочка летом родилась валя по имени
molkewutcham	мне померещились призраки
burduka asin	муки нет
hargi-luwar-ka tar iseso-do tumnisa dereldutyn taringildun tar heweki bejengildun	черт-то когда их увидел плюнул на их лица на лица этих самых людей бога
utole-te ehi-de ororduji hjerdutyn hjerwatyn minefkil edewer hokorde   hokormi tarwo orone bakadatyn bakadawer	раньше и сейчас оленям на ушах уши режут чтобы не потерять если потеряют этого  найти чтобы чтобы найти
ter engnekorwe nungardulatyn tastasawun ohotnikildu buttotyn bultamnildu	тех телят мы к ним гнали чтобы они раздали охотникам охотникам
erupchu huruwren	плохо увез он
dolbo tadu iheldu nungarnuntyn awki	ночью там на камнях с ними спит
tar hele umno gennohiso bejelwe okanem angja muja	вот это однажды бог сделав людей пошел за этой самой за водой
ila nungartyn ora	куда они делись
ogdoske	дуся
igarkaduk elo prihodili ororak uguchchanal hantajkala tar hine nanchitchikajemi	из игарки сюда переходили ехав верхом на оленях в хантайку когда тебя я нянчила
togda toli ichenosinew sewernaj tajmurala	тогда тогда поехали посмотреть на северную таймуру
toli nginakin turosi biso	тогда у собаки была речь
i wot bi tug hawalim	и вот так я работала
tadu bi isdechew nungan bichen e baldichan primerno umukon tysacha dapkundar dapkun nungidu anganidu	там я видела она родилась в тысяча восемьдесят восемь шестом году
jangkakundula emewso iheldula	на горы принесла на камни
bi-ke cho	я-то что
tegekel	садись
nungan dazhe guningkin w berloge epko ware   abachi	он даже говорил в берлоге нельзя убивать   медведь
dun achin eche angidara opdere	чум не построен
hodyh tare ororwo tahiktamnityn ere jekengdewon	он лучший пастух оленей в эконде 
a tala telegrammuwe bakachal potom uzhe ushli kogda uzh dawno һawaichalawun	а там телеграмму нашли потом уже когда уже мы давно ушли гулять
ajamamat ohotilsadechaw	очень хорошо охотился
i wot gunen	и вот он сказал
i wse	и все
chaski hururewun	дальше пошли
tartiki ugusakit hurungnende	туда верховым идешь
mortyn mortyn achir	самих нет
tungadan ororwo	пятьдесят оленей
potomu chto erupchuje deptyleje kotoryj esikotkon depdengnere engkiwun dewre	потому что плохую еду которую сейчас едят мы не ели
nu i emepchotyn nunganman jerbekedu	ну и привезли его в ербогачен
tar amingahaw emeren omolginun 	отец покойный приехал с молодым человеком 
gorodtula indam dudinkadu	в городе живу в дудинке
hegdy kete orosil ewenkil hutelduwer anangiletyn engkityn bungkityn namisane	эвенки у которых много оленей это делали давали своим детям важенку
tarit-de nungan gunderen	потом он говорит
taduk taringin  	потом тот  
akinmi andrej busen mindu dapkun ireksewe eldundaji odaw	старший брат мой андрей дал мне восемь шкур покрышку чума сделать
irtyki biren dus	где находится твой дом
ngenedene ngenedene dukchalwe iseso dundegesin-te	шел шел и увидел чумы как на земле
kunga ngenewungkif bejelwo	я возил людей
oroheme oron hegdi umnej	что касается оленя олень очень умный
hurur   achir ora	не стало их
uldengiltyn lokusadawkil tulilo	мясо их висит на улице
nado s utra zhe hururektyn	надо с утра же ехать 
nu ajat bidengkiwun	ну хорошо мы жили
konechno konechno wse wrema	конечно-конечно все время
no pektyrokel ajamamat	но стреляй очень хорошо
danduk duldo hele-ke ngenedengōtyn	за двенадцать дней доедут
eningehe guningkin	покойная мать говорила
hurure erdelon	ушли совсем
abachi tegeren	медведь сел
gasa mokanme gunne	взяла полешко думая
tar kinggit guso	сказал тот кингит
bunille-he uregendu uregen ojodun	завыли на горе на вершине горы
taduk dudinkala hurum	потом в дудинку поехала
tungiwe-ne mindu tu tungewa otmetkawa bupkil patorkelwe polushishaw ene girametne bihe monngitpi opytitpi hawalnatpi oron hawawan	пятерку вот мне отметку пятерку дают пятерки получал будучи неграмотным со своим опытом с проделанной оленьей работой
turuhanskeduk tselyj anganiwe emedefki ngekendela	из туруханска целый год возвращалась в эконду
edes degiwuhine-da erit wattingaw hune guso	если не унесете поубиваю вас этим сказал
on keden jopu bire tarba bejewe irgitcheri nungan	как же ему  кормившему того человека не быть жидким
heweki hururen	бог ушел
ekunka nawernoje nginakir kikirkal kuikotchenel	это самое наверное собаки покусали когда дрались
ewedyt turonderew	по-эвенкийски разговариваю
amingehew efki menikleji bu   bufki pushniktu	отец покойный это самое делает за себя сдает приемщику пушнины
ewa echesun jesche gorowo nulgidisun	почему вы еще не сделали долго так аргишите
potom ahilaren	потом он женился
ilo idu tadu tala hurupki tara hurupki	куда где там туда пойдет сюда пойдет
amim emederen	отец мой идет
emenmure nekurwi ahamil	остались младшие мои сестры
nungan aderen	он спит
kojnonun-te birokin ulikel guso	раз заблудился накорми сказал
opat tozhe ohiktakardi opki	опять становится звездочками
nikisere emewuwki	уточек приносит
tare dapkun klaspe manasaw tutonchanedu	восемь классов закончил в тутончанах
ehi polno binore nawernoje	сейчас их полно наверное
eningehew ngolelcho	мать покойная испугалась
m-m	м-м
jokederen	кричит
ohotnik bison	охотник был
ekinin tozhe	старшая сестра его тоже
cherez goda   annganili ilallali   ilalduli nengne tali zhe ngenedechow umukin na uchage uchaktu	через года   через три года весной там же ехал один на учаге на верховом олене
mune huruwupki ilo dula	нас возит везде в чумы
kak goworat ajjaw merwer	как говорят выручили самих себя
dewso niso  	он поел и это самое  
kungakan tadu hutetyn biso	там был их ребенок
a eninmi uzhe dapkun annganil kak achin ocha	а мамы уже восемь лет как не стало
ngelewsy-ko ama-te amawun ewki doldire	страшно это дед наш дед-то не слышит
nanmaktal asir bifkil	комаров не было
ke gunen bokonchukel nunganman	давай говорит догоняй его
menderkangaha tawardu ungundu tozhe dundegin bichon	покойный хромой там в этом тоже с той земли был
tuge tuge de   tuge tuge okallu	так так делайте
gunipki	думает
ge huktyllen	второй убежал
etem etem bol    etem etem goworu tala bolshe angire	не буду не буду больше не буду не буду говорю туда больше это самое
a nekunmi wasilij a abachutkan byl   echen-ton hegdy bire dwuhgodowalyj huchuhicha kotot	а мой младший брат василий а медвежонок был небольшой двухгодовалый ткнул пальмой
taduk gunim-te  	потом я сказал-то  
dylgan-ta amingiw	голос-то моего отца
tuksadaran tuksadaran	бежит бежит
nu tala echawun-ke ajchawun nu i wso	ну там это сделали добыли ну и все
tyniwechawudu ngenedechowun	мы шли позавчера
chipkarwi bihe	птицы есть
bi baldychaw tutonchanadu	я родился в тутончанах
uzhe nungannun indengkiwun	уже с ним мы жили
tolko dirikan emonmucho	только сопка осталась
eknilwe tadu bidere lena tona	мои старшие сестры там живут лена тоня
dapkali girkum	по берегу я ходил
hurure tali du̅liwun ngenere	поехали туда через наш чум проехали
potom uzhe tala hannguktalim	потом уже там я спрашивать начал
hele isefkekel mindu idu taringilin	покажи-ка мне где эти его 
e̅ etyrkor ehi tarilwa dona	да старики сейчас тех вспомнили
bi bultadem chipkanduli	я охочусь на соболя
degiwufkondengow hamij tar dui dagalan	заставлю их принести меня по воздуху прямо рядом с моим чумом
er-do-te mudaningiw hegenim huwulwon	вот и конец я рассказал все
guchowdadoi nikochow emokel	хотела сказать оставь
potom ichesinim amaskii	потом посмотрел назад
dәgrә samolettu	на самолете прилетели
bi-de echew popalle	и я не попал
elo mittulo beje emeson hargi	сюда к нам человек пришел харги
kungakan tuksahise moloro ojokokurwotyn ugidoldulityn tuksahindana	ребенок побежал убегая выше вершин 
bi gunim	подумала
a sejchas ja pensijadu bidem	а сейчас я на пенсии
taduk nungan ujden nungarwatyn	потом он привязал их
oldokorwo ehikon nodadem tala	рыбок сейчас брошу туда
institutylwa manasatyn	институты они закончили
chajnikilwe hujupcho	чайники вскипятила
a gil-ke uzhe hegdykor ochal	а другие-то уже большие стали
ajamamat bidere mittuk heleket	очень хорошо живут лучше нас с вами
inichederil bidere inichedenel bidere	запряженными оставались еще
da	да
uldilen odaf	я стала мастерицей шить
edu ekun-ka asin bison gulel gulel ewki dukar tadu eduk erbanduk niski	здесь ничего не было домов домишки были немножко отсюда внизу
ajisifka buslewe oronmo tatarwen ajisifka	лечить надо больного оленя чесотку лечить надо
potom umno jesche ulguchonderen	потом однажды еще рассказывает
potom ichetcheren peschera	потом видит пещера
hele tar-wahin bidengnogin	пусть он живет
dawaj hikilden nungarwatyn mukondi	стал мыть их водичкой
silno tetedu edu-de hawaldami-ke achin hawa	сильно ни в тетее ни где-то работать-то не было работы
ranenyjengilwi ahaktalingkin	раненых своих добивает 
pensioneril starikiw minngi pensioner bichon	пенсионеры мой старик пенсионером был
bi gundem nekunduwi	я говорю своему младшему брату
eninmi garan-da amakatkie hururen	мать взял и пошел к дедушке
o jopun-keme ho	о очень жидкий
oror	олени
ganalchil hongetyn guso	начальник стрелков сказал
taduk tastawun namadi engnekonme hujukoriktelwe	оттуда гнали сто телят одних самцов
taduk hingilgen bururakin hungta orokin elun kapkasilingnaraw	потом когда снег выпадет когда глубокий будет снег бездорожье мы начинаем капканами охотиться 
nu taringityn potom opat uwiriwren	ну она потом опять поднялась в воздух
gunno gucho һari beje ngenederen	подумал знающий человек едет
widno amundarka	видимо он испражняется
ilitchechon	стоял
chipkakanme isede chipkan gunektyn amaskii tuksandende	видя утку если говорили утка ты назад убежишь
ame̅ ekukan ngalen harbaldediren tadu	папа кого огромного рука растопырена там
uzhe bumudere nungartyn	уже умирают они
mangil huktydere hirandere ijundu	медведи бегут спариваются в июне
no hutelwi tak-to daj bog indere upkat	но дети мои так-то дай бог все живут
tung nikese-de huruso	сделав так он ушел
gugarele doldym	гугары услышала
efkil onore ahatkar tawer	не вышивают эти девушки
nu ja jesche i za leto rasskazala	ну я еще и за лето рассказала
ewilen	стал играть
potom gela dula huruden	потом в другой чум поедет
no tak konechno mongiw angiw choliw iledy kak on omngodenni	но так конечно свой эвенкийский язык как забудешь
tuk kedene abdundula turgam	так наткнулся на берлогу
bu bi doldim	мы я услышала
biradu	на реке
bejewe hereket owki	мужчину отдельно делал
mozhet ulokkidam kak-nibud	может обману как-нибудь
opat hutesil	опять с детьми
hele isewkondengow er hergudu dundedu bikonem emem gunne	вот покажу сказав что пришел побывав на нижней земле
tarit tawer beje buwki odan tar hargi tumninadin	вот люди и стали умирать из-за плевка черта
girkuna	пешком
bi pektyrenem	я выстрелил
nekotoryj hagdikar olenewodil tar dawusedere oronme	некоторые старые оленеводы те держат оленя
a tolko hagdanmi osan rybakom	только состарившись он стал рыбаком
hurkokochonme ele eleli ocha pramo bedni	вот как мальчик как раз прямо стала бедная
tawungnerewun potom utrom na̅n һangkelduldule̅ namngnerewun na̅n hurungnerewun	ставим палатку потом утром утром опять на санки на санки кладем опять едем
er ungun mina aminim bichon	это отец мой был
umukonme bultarew	одного добыли
emedengnerew emedengnerew	подходим подходим
eldu-ka nu kak skazat-to eti kommersanty komme    kommesar   kommersasheldu uniengnerew shobdorwe ulukilwe	этим ну как сказать-то эти коммерсанты коммерсантам продаем соболей белок
hutelwi er guletyn ere ajat	у моих детей дом это самое хорошо
deptilele k    deptilelwe iruk   iruktedangkitin orordu turuduk kislokandula birali tunguskali	продукты возили на оленях из туры в кислокан по реке тунгуске
oldonwen produktele emewupkil oldonwen һuruwupkil	рыбу продукты привозят рыбу увозят
gedu kergendu hunngtu oronngityn hamilkin	в другой семье другая отметка у оленей
huksillaldi girkudachawun	мы ходили на камусных лыжах
nu i  	ну и  
opat amim opat mine hurupden	опять отец меня везет
kure uteleptyduk juchal dawno tar 	давно вышли из огорода
glushnew mihail pawlowich bishon hegdi doktur	глушнев михаил павлович был большой доктор
ge hunadif renata inderen norilskadu	моя вторая дочь рената живет в норильске
dolsatcheren tegetcheren	слушает сидит
amim eninmew hagdy hagdytmer bison	отец матери старше был
a bi emerepte hunnun numotchildew ehile	а я мы с вами приехали и я с вами стали соседями вот
alik mune tali mumnget ngenepchan wot	алик нас туда напрямик проводил вот
uguchakildi ranshe ngulgingkiwun	на верховых оленях мы раньше кочевали
degiwuskeldu dukte guso	отнесите меня по воздуху вдвоем сказал
dylwer altyndengatyn	голову отвернут
kik kik	кык кык
tar dukchaldula emeren derukonem	устав он пришел к тем чумам
skolko wertolet isyssa degipki ehi	сколько вертолет летит сейчас
hergiski-kun buruso erdelon	совсем упал вниз
ehaw erupchut ichepki bichon	глаз у меня плохо видел
warew toli ketememewe ullelwe ollolwo	добыли тогда много мяса рыбы
sa   sadiktula engkif girkura	в садик не ходил
bultadande dengkejawel kapkandu tagadan	добудешь соболей в капкан попадет
