ichetnodem	приду посмотреть
tegekonem moldu tegetcheren	сел и сидит на дровах
nungan gunchen	она сказала
nu ulle konechno ollol tuge	ну мясо конечно рыба так
ere indengkiwun na ribotochkah kalan delimakit perekat	это мы жили на рыботочках калан делимакит перекат
hawalim hagdandulaji	работала до старости
prosto du nungardulatin ojoletin bururen edinderekin homamat	просто чум упал на них сверху когда был очень сильный ветер
mindu bichen   bi hegdi bichew mindu bichetin hutelwi uzhe	мне было   я взрослая была у меня были дети уже
uzhe halgarin eto w zemlu prowaliwajutsa	уже ноги у него в землю проваливаются
angi buniderilwe irgichilwe doldirew	это воющих волков мы услышали
bu pektirullew	мы выстрелили
a ungun tar chasownagit emepki bicho	а этот самый из часовни приезжал
taduk nu ajamamat hegdiheso kungakan	потом очень хорошо вырос ребенок
taduk olenewod odam mekloji	потом оленеводом стал сам 
dawaj palatkatki tuksahinam	я давай бежать к палатке
engnekordu uchadangkif hiwudaktu	на телятах каталась верхом от скуки от нечего делать
wertoletil degingkitin olenewodildula	вертолеты летали к оленеводам
wot nungan potom opat tar zhe mestola emeren	вот он опять на то же место пришел
dundengdulii hururen-da ertiki-kem dulbi bisotin gunne	пошел по этой земле думая вот в эту сторону мои чумы были
eruktalingkiwun girkumatpel	начинали проверять пешком
bejele asir	людей других нет
amakan lukilon osa bejetkondu ele nikor ustawatin	дедушка сделал мальчику стрелы все это самое  все
taduk beje emelcho dumala	потом человек пошел к чуму
lambaranen	прилепила
taduk nungartin eta   hewekidu   gunderen	потом они   бог думает
istanokil bejel ekur upolnomochennijil girkudangkitin	станки люди эти уполномоченные ходили
tepkelingkin	звал
nungan mune tewuktedeson ilo tala	он возил нас туда-сюда 
bagdama oron erigin ahis busle oldondun	пусть белый олень подышит твоей жене на больной бок
tar eto hargi angin oj warak tolko tepkehinen	черт то есть сатана только крикнул
bi gunelim	я стала говорить
wertoletil ora degre	вертолеты это самое прилетали
mm	м-м
taduk etirkonin budande potaptula hururen	потом ее муж умер и она уехала в потапово
nungan hanguktasa	он спросил
taduk shuraja timanektewan ewa buranildi һuruchol	оттуда шура и его друзья это на другой день на буранах уехали
tadu bolnitsa bison	там больница была
ilo oda	куда они делись
tar hele tar hurumurekin oldan tare ungtuwune ehi tar beje	как только он улетел тот человек стал делать бубен
nu tar beje kotorij ngenedechon	ну тот человек который шел
tak do zimi zimoj uzhe argishim na odnom meste	так до зимы зимой уже аргишим на одном месте
nu tam ganalchi-te ho bingkin beje	ну там стрелок-то он сильный был
edu indengkin minngi ekim olga iwanowna udigir etirkonduliwi	здесь жила моя сестра старшая ольга ивановна удыгир по мужу
aga	ага
no indesowun ajat	но жили мы хорошо
olenewodil hungtu izmeni izmenire oronmi irgihitpe	оленеводы другие изменили воспитание оленей
chajtirewun	попили чай
umukon beje tutonchanegan mindu ulguchonen ero	один человек из тутончан мне рассказал это
on nan ngelifkenmi aja binon er hutelwon mine degiwdotin dundetki tare duw dagalan	как бы напугать было бы этих детей чтобы они привезли на землю возле моего чума
dadangilwa dadangildu ileldu ororoji bungkin nulgiktewunetin debdotin	безоленным людям оленей своих давал аргишить чтобы те ели
bi doldim tar buniderilwe angilwa ngonimilwa	я услышала этих воющих длинных 
i wot mune tar sewernij tajmura archaran olloldi bejngoldi chipkardi	и вот нас северная таймура встретила рыбой дикими оленями соболями
nungardutin kete hutelin bichetin	у них много детей было
taduk hele e-dawel etere ere bu hagdanew	потом вот почему-то не стали мы постарели
tuksantesa-do tetigedukin hogdondodukin degiwuhise erdelon jangiltikikun iheldulo	побежал за одежду за спину его совсем понес на горы на камни
tar mesto aja-te	там место хорошее-то
nu togda heweki gunderen	ну тогда бог говорит
ichechelim	стала смотреть
hukuledewki	лежит
ulle ajamama bichon	мясо было очень хорошее
umukon tigise jegin namadi dapkundar nadisidun anganidu emesow	в одна тысяча девятьсот восемьдесят седьмом году я приехал
potaptula iremodichew	в потапово в гости я поехал
wso rawno uzhe pochti chto polowinu tuge halwatin ajat echew hare	все равно уже почти что половину так некоторые уже хорошо не помню
ekspeditsijadu hawaldesan hawaldesatin	он работал в экспедиции они работали
tar hele hele hurukte guso	ну вот пойду-ка подумал он
hot tarit nodanchedem	хоть этим кину
ni emesen guso	спросил кто пришел
gosiktawan hele hurum armijela	на следующий год вот пошел в армию
tegetchechon	сидел
tar ngelitne beje bilden tar kinggittu	человек стал жить у того кингита боясь его
a buchen nungan umukon tisacha jegindar dapkun nungu   nungi   nungidu anganidu	а умерла она в одна тысяча девяносто восемь шестом году
nu a nungan tegetme tadu emenmuchon	ну а он там остался сидя
nu indichowun tadu du̅ldutin balokildutin	ну жили там в их домах в их балках
nu nungan gunderen chto wot ot etogo chtobi malenkogo palmoj rubili	он говорил что вот от этого чтобы маленького пальмой рубили
e-da edende	почему нет
etirkom gunepki	мой муж говорит
bi hanguktedechaw ebekeje annaduk mihajlownaduk	я спрашивала у бабушки анны михайловны
tarigit emechol bichotin potaptula	оттуда они приехали в потапово
haktiriwchu odan	темно стало
howe gorowo ganatmatcha	очень долго стрелялся
ongkodoro	пасутся
heweki dawusadasa-te nunganman	бог ее держал
ewkil ejdere nunganman	его не замечают
gribilwa tapdara	грибы собирают
taduk doldim tepkerwe	потом услышала крики
tadu һalwetin tajim znakomijelbi bichol	там некоторых узнал знакомые мои были
ichem wolka udalin tadu wezde chagit	увидел следы волка там везде с той стороны неподалеку
dundelo emewren i gunderen	на землю привел и говорит
eto hujukukon ge igdamakan	маленький другой рыженький 
taringmi ganasiwki-da idu-do ewki nawkane	стрелял в него никуда не попадая
bi usittasaw dapkun klasstu	я училась в восьмом классе
hutelin-da monin-da josal eregerit	дети же сами очень испугались
ahiw gerbin masha	жену зовут маша
juzhnoj tajmurawa dagraw bargidawan	южную таймуру перешли на другой берег поднялись
udaltin achir	следов нет
potom gewa motiwa icherew	потом видели другого лося
taduk boloniwe tagiktam ororwo gotadana	потом всю осень пас  изгородь делал
degilde dutkikunmer tar kinggit hutelin	полетели себе домой дети кингита
internattu hawalchaw	в интернате я работала
angulda diwolda gunne	стали удивляться думая
taduk togongnerew dawiltiki i shurungnerew osholoki ulumikittiki	потом садимся в лодки и уходим вверх по течению к промысловым местам
dawatten nungarwatin	похватал их
oj nungartin gara tigewer	ой они взяли свою посуду
taduk doldiren eningehew	потом услыхала мать покойная
stadewetin darili nenecho begem darile du̅tadechel	их стадо стороной я проехал в стороне были в чуме
kire ngo	фу вонь
tung nikese-da hele bi ehikokon nungarwatin ngolefkondengow	делая так я их сейчас испугаю
nungan gunderen	она говорит
ustawan manawki wawki	всех приканчивал убивал
kojno bihim gunderen	говорит что заблудился
oror edu zhe emechule 	олени пришли сюда
kabineteldu tegettane edingo bingkiw gorojo 	в кабинетах сидя не мог там долго 
ter   wegin ere perestrojkalongahitin toli hele in eruwsu osan edu jekengdedu perestrojkadangahitin	в то время когда была перестройка тогда вот жизнь плохой стала здесь в эконде когда перестраивались
bi tuge angidangnam  dulai ngenedengnem tolgokildu   tolgokidu	я зимой это  домой еду на санях
tetigalin asir ekunda asin	у него одежды нет ничего нет
orordi bidane ororwo tahiktadadangas	с оленями находясь оленей выпасать будешь
lekarstwangiltin ngopchu	лекарства их вонючие
ororwo unatchawun tingaringe	оленей продали в прошлом году
ngolelim aha	я испугалась ага
ajakandi ujden uhikokundi	хорошенько связал веревкой
ngenektedende tadu nunganman	поведу-ка его туда
tushal uldelwi stolko	туши мяса моего столько
tar isewkeso er bidere gunne	она показала говоря вот они
owodilwe ustawan wasifkil e ekurdi brizgowateldi	оводов всех убивают этими брызгателями
potom busselden leningradtu emeren dulai	потом она заболела в ленинграде и приехала домой
ekukakun-mel gunderen heleme chipicha doren hegdimeme girginadana	какая-то говорит железная огромная птица села позвякивая
heweki hele angilduk sitalduk odawki bise bejelbe	бог вот из этого самого из глины делал людей
tar beitcheren tar demngenedukpi	он мстит за свои объедки
tak tuge prosto debdower debdower gelektedechowun bejngole nulgiktedenel	так просто чтобы поесть чтобы поесть искали диких оленей пока аргишили
hinngis opitis hegdi	у тебя опыт большой
hangedefkil depdower nulgiktededower	следовали за ним чтобы есть кочевать
pekteroningnende sipkanme	стреляешь соболя
ewki hilbere amaka	не рассказывает дедушка
nonon anginkif nengnenit mole ojonmunongkif	перед этим это делал весной дрова сплавлял несколько раз ходил
minngi sestraw hegdimer turskaja hristina dmitrijewna edu hawalchan	моя старшая сестра турская христина дмитриевна работала здесь
wojnaduk bichon kujki	с войны был глухим
ugiskikon degilipki dunde	земля летит вверх
kergehelin eregerit hokorsol ilo odan er gunne	семья совсем потеряла говоря куда он делся
taduk eninmes huruwre	потом твою мать увезли
dada amaski hururen	дядя позади поехал
borongkon gerbisi amakaw bison muktenguduk	дед по имени боронгкон был из рода мукта
badaraltin badarami-te gunifki dundewe	лесные пожары поджигать лес стали говорит 
toli amim oriren hamanme utokogir bahilajwe	тогда отец позвал шамана утокогира василия
takuju dal ehi	такую даль сейчас
homotiwa bi rasskazhu on wachaw	медведя я расскажу как убил
palatkala dagamallawun	стали подъезжать к палатке
e tunngawa bejewa hihur   kep   e uim	о пятерых мужчин я связал
halgartin kepusol bisotin	ноги их опухшие были
tugeniwe tagiktarawun marteldula	всю зиму пасли до марта
ke pektirekel beje	давай стреляй парень
gorowo bikenem heweki emeren	бог пришел после долгого отсутствия
er portala emellew	стали подходить к этому аэропорту
albaraw eja-da angidami wadami ni bejngol	не могли ничего добыть ни дикого оленя
hoktelwer ter nungartin esel hare	дорогу свою они не знают
wertolettu dәgildәw	на вертолете мы полетели
tartiki tuktihinen	залез туда
ullidengkin kokollolwa angiduk irekseduk	она шила рукавицы из этого самого из ровдуги
wihodnoj	выходной
wse	все
amim toli buslelcho bison	отец тогда заболел
duktekon indewkil	вдвоем жили
hukuledere hukuledere	лежат лежат
epet hururen	опять ушел
dazhe gunipkil izbushka guru izbushkabal echol emone chto li	даже говорят избушку какую-то не оставили что ли
tung nikewki-da ekun-mal mujan gennowki iduk-pel biso	делая так ходил ему за водой
akim bison aleksa gerbin aleksandr	у меня был старший брат по имени алекса александр
nu umnot angiran pektirenen nunganman	ну сразу это выстрелил в него
nungan gunen	он сказал
potom doldim m-m-m nekederiwe	потом услышала как делает ммм
to aja ajamamat dolsatcha-de	хорошенько прислушалась
e bihe	да они есть
bunille tare angil ngonimil	завыли эти длинные
bolshe omngom	больше не помню
etirkonin nunganngin udigir wladimir konstantinowich	ее муж удыгир владимир константинович
nu ehi ehi ehite gorod tadu	ну сейчас сейчас-то город там
tadu maril jaktali dinngilecho tadu	там кусты вдоль ручья он бежал там
terehedene tuksahise nunganman	побежав колотит его
da bi gunderen amutwa upkatwan hurupdai tar hunngi tigehun hujukun engeni	да говорит я все озеро принести  но ваша посуда слишком маленькая
ichechelim ajamamat	я стала хорошенько смотреть
nu bednenko	ну бедненько
uchakki dawamalcham menngiwi uchakki	учака схватила своего учака
amargut okinmel emedem	позже я приду
hele dumajdana dumajdana tar beje angcha	вот этот человек думал думал и это  
nungandun tare hawaline prawitelstwo buson dur ordenme trudowoj slawi wtoroj tretjej stepeni	ему это за работу правительство дало два ордена трудовой славы второй и третьей степени
er ekspeditsijal ora hutelwew bufkone	эти экспедиции сделали моих детей задушили
һojduk muchucha	из тундры вернулся
odnazhdi umno etirkom umno etirkom angiran bakaran abdunma	однажды мой муж это самое нашел берлогу
inihilderes	живите
taduk huidigif ahatkanngif duga baldiran wala gerbisi	потом младшенькая девочка летом родилась валя по имени
molkewutcham	мне померещились призраки
burduka asin	муки нет
hargi-luwar-ka tar iseso-do tumnisa dereldutin taringildun tar heweki bejengildun	черт-то когда их увидел плюнул на их лица на лица этих самых людей бога
utole-te ehi-de ororduji hjerdutin hjerwatin minefkil edewer hokorde   hokormi tarwo orone bakadatin bakadawer	раньше и сейчас оленям на ушах уши режут чтобы не потерять если потеряют этого  найти чтобы чтобы найти
ter engnekorwe nungardulatin tastasawun ohotnikildu buttotin bultamnildu	тех телят мы к ним гнали чтобы они раздали охотникам охотникам
erupchu huruwren	плохо увез он
tar hele umno gennohiso bejelwe okanem angja muja	вот это однажды бог сделав людей пошел за этой самой за водой
ila nungartin ora	куда они делись
ogdoske	дуся
igarkaduk elo prihodili ororak uguchchanal hantajkala tar hine nanchitchikajemi	из игарки сюда переходили ехав верхом на оленях в хантайку когда тебя я нянчила
togda toli ichenosinew sewernaj tajmurala	тогда тогда поехали посмотреть на северную таймуру
toli nginakin turosi biso	тогда у собаки была речь
i wot bi tug hawalim	и вот так я работала
tadu bi isdechew nungan bichen e baldichan primerno umukon tisacha dapkundar dapkun nungidu anganidu	там я видела она родилась в тысяча восемьдесят восемь шестом году
jangkakundula emewso iheldula	на горы принесла на камни
bi-ke cho	я-то что
tegekel	садись
nungan dazhe guningkin w berloge epko ware   abachi	он даже говорил в берлоге нельзя убивать   медведь
dun achin eche angidara opdere	чум не построен
a tala telegrammuwe bakachal potom uzhe ushli kogda uzh dawno һawaichalawun	а там телеграмму нашли потом уже когда уже мы давно ушли гулять
ajamamat ohotilsadechaw	очень хорошо охотился
i wot gunen	и вот он сказал
i wse	и все
tartiki ugusakit hurungnende	туда верховым идешь
mortin mortin achir	самих нет
tungadan ororwo	пятьдесят оленей
potomu chto erupchuje deptileje kotorij esikotkon depdengnere engkiwun dewre	потому что плохую еду которую сейчас едят мы не ели
nu i emepchotin nunganman jerbekedu	ну и привезли его в ербогачен
tar amingahaw emeren omolginun 	отец покойный приехал с молодым человеком 
gorodtula indam dudinkadu	в городе живу в дудинке
hegdi kete orosil ewenkil hutelduwer anangiletin engkitin bungkitin namisane	эвенки у которых много оленей это делали давали своим детям важенку
tarit-de nungan gunderen	потом он говорит
taduk taringin  	потом тот  
irtiki biren dus	где находится твой дом
ngenedene ngenedene dukchalwe iseso dundegesin-te	шел шел и увидел чумы как на земле
kunga ngenewungkif bejelwo	я возил людей
hurur   achir ora	не стало их
uldengiltin lokusadawkil tulilo	мясо их висит на улице
nado s utra zhe hururektin	надо с утра же ехать 
nu ajat bidengkiwun	ну хорошо мы жили
konechno konechno wse wrema	конечно-конечно все время
no pektirokel ajamamat	но стреляй очень хорошо
danduk duldo hele-ke ngenedengōtin	за двенадцать дней доедут
eningehe guningkin	покойная мать говорила
hurure erdelon	ушли совсем
abachi tegeren	медведь сел
tar kinggit guso	сказал тот кингит
bunille-he uregendu uregen ojodun	завыли на горе на вершине горы
taduk dudinkala hurum	потом в дудинку поехала
tungiwe-ne mindu tu tungewa otmetkawa bupkil patorkelwe polushishaw ene girametne bihe monngitpi opititpi hawalnatpi oron hawawan	пятерку вот мне отметку пятерку дают пятерки получал будучи неграмотным со своим опытом с проделанной оленьей работой
edes degiwuhine-da erit wattingaw hune guso	если не унесете поубиваю вас этим сказал
on keden jopu bire tarba bejewe irgitcheri nungan	как же ему  кормившему того человека не быть жидким
heweki hururen	бог ушел
ekunka nawernoje nginakir kikirkal kuikotchenel	это самое наверное собаки покусали когда дрались
ewedit turonderew	по-эвенкийски разговариваю
potom ahilaren	потом он женился
ilo idu tadu tala hurupki tara hurupki	куда где там туда пойдет сюда пойдет
amim emederen	отец мой идет
emenmure nekurwi ahamil	остались младшие мои сестры
nungan aderen	он спит
kojnonun-te birokin ulikel guso	раз заблудился накорми сказал
opat tozhe ohiktakardi opki	опять становится звездочками
nikisere emewuwki	уточек приносит
tare dapkun klaspe manasaw tutonchanedu	восемь классов закончил в тутончанах
ehi polno binore nawernoje	сейчас их полно наверное
eningehew ngolelcho	мать покойная испугалась
m-m	м-м
jokederen	кричит
ohotnik bison	охотник был
ekinin tozhe	старшая сестра его тоже
cherez goda   annganili ilallali   ilalduli nengne tali zhe ngenedechow umukin na uchage uchaktu	через года   через три года весной там же ехал один на учаге на верховом олене
mune huruwupki ilo dula	нас возит везде в чумы
kak goworat ajjaw merwer	как говорят выручили самих себя
dewso niso  	он поел и это самое  
kungakan tadu hutetin biso	там был их ребенок
a eninmi uzhe dapkun annganil kak achin ocha	а мамы уже восемь лет как не стало
ngelewsi-ko ama-te amawun ewki doldire	страшно это дед наш дед-то не слышит
nanmaktal asir bifkil	комаров не было
ke gunen bokonchukel nunganman	давай говорит догоняй его
tuge tuge de   tuge tuge okallu	так так делайте
gunipki	думает
etem etem bol    etem etem goworu tala bolshe angire	не буду не буду больше не буду не буду говорю туда больше это самое
a nekunmi wasilij a abachutkan bil   echen-ton hegdi bire dwuhgodowalij huchuhicha kotot	а мой младший брат василий а медвежонок был небольшой двухгодовалый ткнул пальмой
tuksadaran tuksadaran	бежит бежит
nu tala echawun-ke ajchawun nu i wso	ну там это сделали добыли ну и все
tiniwechawudu ngenedechowun	мы шли позавчера
uzhe nungannun indengkiwun	уже с ним мы жили
tolko dirikan emonmucho	только сопка осталась
eknilwe tadu bidere lena tona	мои старшие сестры там живут лена тоня
dapkali girkum	по берегу я ходил
hurure tali du̅liwun ngenere	поехали туда через наш чум проехали
potom uzhe tala hannguktalim	потом уже там я спрашивать начал
e̅ etirkor ehi tarilwa dona	да старики сейчас тех вспомнили
bi bultadem chipkanduli	я охочусь на соболя
degiwufkondengow hamij tar dui dagalan	заставлю их принести меня по воздуху прямо рядом с моим чумом
er-do-te mudaningiw hegenim huwulwon	вот и конец я рассказал все
guchowdadoi nikochow emokel	хотела сказать оставь
potom ichesinim amaskii	потом посмотрел назад
dәgrә samolettu	на самолете прилетели
bi-de echew popalle	и я не попал
kungakan tuksahise moloro ojokokurwotin ugidoldulitin tuksahindana	ребенок побежал убегая выше вершин 
bi gunim	подумала
a sejchas ja pensijadu bidem	а сейчас я на пенсии
taduk nungan ujden nungarwatin	потом он привязал их
oldokorwo ehikon nodadem tala	рыбок сейчас брошу туда
institutilwa manasatin	институты они закончили
chajnikilwe hujupcho	чайники вскипятила
ajamamat bidere mittuk heleket	очень хорошо живут лучше нас с вами
inichederil bidere inichedenel bidere	запряженными оставались еще
uldilen odaf	я стала мастерицей шить
ajisifka buslewe oronmo tatarwen ajisifka	лечить надо больного оленя чесотку лечить надо
potom umno jesche ulguchonderen	потом однажды еще рассказывает
potom ichetcheren peschera	потом видит пещера
hele tar-wahin bidengnogin	пусть он живет
dawaj hikilden nungarwatin mukondi	стал мыть их водичкой
silno tetedu edu-de hawaldami-ke achin hawa	сильно ни в тетее ни где-то работать-то не было работы
ranenijengilwi ahaktalingkin	раненых своих добивает 
pensioneril starikiw minngi pensioner bichon	пенсионеры мой старик пенсионером был
eninmi garan-da amakatkie hururen	мать взял и пошел к дедушке
o jopun-keme ho	о очень жидкий
ganalchil hongetin guso	начальник стрелков сказал
taduk tastawun namadi engnekonme hujukoriktelwe	оттуда гнали сто телят одних самцов
taduk hingilgen bururakin hungta orokin elun kapkasilingnaraw	потом когда снег выпадет когда глубокий будет снег бездорожье мы начинаем капканами охотиться 
nu taringitin potom opat uwiriwren	ну она потом опять поднялась в воздух
gunno gucho һari beje ngenederen	подумал знающий человек едет
widno amundarka	видимо он испражняется
ilitchechon	стоял
chipkakanme isede chipkan gunektin amaskii tuksandende	видя утку если говорили утка ты назад убежишь
ame̅ ekukan ngalen harbaldediren tadu	папа кого огромного рука растопырена там
mangil huktidere hirandere ijundu	медведи бегут спариваются в июне
no hutelwi tak-to daj bog indere upkat	но дети мои так-то дай бог все живут
tung nikese-de huruso	сделав так он ушел
gugarele doldim	гугары услышала
efkil onore ahatkar tawer	не вышивают эти девушки
nu ja jesche i za leto rasskazala	ну я еще и за лето рассказала
ewilen	стал играть
potom gela dula huruden	потом в другой чум поедет
no tak konechno mongiw angiw choliw iledi kak on omngodenni	но так конечно свой эвенкийский язык как забудешь
tuk kedene abdundula turgam	так наткнулся на берлогу
bu bi doldim	мы я услышала
bejewe hereket owki	мужчину отдельно делал
opat hutesil	опять с детьми
hele isewkondengow er hergudu dundedu bikonem emem gunne	вот покажу сказав что пришел побывав на нижней земле
girkuna	пешком
bi pektirenem	я выстрелил
nekotorij hagdikar olenewodil tar dawusedere oronme	некоторые старые оленеводы те держат оленя
a tolko hagdanmi osan ribakom	только состарившись он стал рыбаком
hurkokochonme ele eleli ocha pramo bedni	вот как мальчик как раз прямо стала бедная
tawungnerewun potom utrom na̅n һangkelduldule̅ namngnerewun na̅n hurungnerewun	ставим палатку потом утром утром опять на санки на санки кладем опять едем
er ungun mina aminim bichon	это отец мой был
umukonme bultarew	одного добыли
emedengnerew emedengnerew	подходим подходим
eldu-ka nu kak skazat-to eti kommersanti komme    kommesar   kommersasheldu uniengnerew shobdorwe ulukilwe	этим ну как сказать-то эти коммерсанты коммерсантам продаем соболей белок
hutelwi er guletin ere ajat	у моих детей дом это самое хорошо
deptilele k    deptilelwe iruk   iruktedangkitin orordu turuduk kislokandula birali tunguskali	продукты возили на оленях из туры в кислокан по реке тунгуске
oldonwen produktele emewupkil oldonwen һuruwupkil	рыбу продукты привозят рыбу увозят
gedu kergendu hunngtu oronngitin hamilkin	в другой семье другая отметка у оленей
huksillaldi girkudachawun	мы ходили на камусных лыжах
nu i  	ну и  
opat amim opat mine hurupden	опять отец меня везет
kure uteleptiduk juchal dawno tar 	давно вышли из огорода
glushnew mihail pawlowich bishon hegdi doktur	глушнев михаил павлович был большой доктор
ge hunadif renata inderen norilskadu	моя вторая дочь рената живет в норильске
dolsatcheren tegetcheren	слушает сидит
amim eninmew hagdi hagditmer bison	отец матери старше был
a bi emerepte hunnun numotchildew ehile	а я мы с вами приехали и я с вами стали соседями вот
uguchakildi ranshe ngulgingkiwun	на верховых оленях мы раньше кочевали
degiwuskeldu dukte guso	отнесите меня по воздуху вдвоем сказал
tar dukchaldula emeren derukonem	устав он пришел к тем чумам
skolko wertolet isissa degipki ehi	сколько вертолет летит сейчас
hergiski-kun buruso erdelon	совсем упал вниз
warew toli ketememewe ullelwe ollolwo	добыли тогда много мяса рыбы
sa   sadiktula engkif girkura	в садик не ходил
bultadande dengkejawel kapkandu tagadan	добудешь соболей в капкан попадет
uchichildә әdu hәgdi	учиться стали здесь большие
o dolboltono emedem	о вечером приеду
a warak nunganman hangukchadaran	а враг его спрашивает
bu amarkandun emerew nulgirew	мы после него пришли прикочевали
bi kungakan beledengkif luhu	я ребенок помогал всегда
tadu indengkim   	там я жил
nu monme tetiwuldan nungan	ну сам зарабывать он стал
ngenederen ngenederen ngenederen edengo baka   bokono	идет идет идет не может догнать
amaka tar etot  	дедушка этот  
bu dagamatchow	мы приближались
ulumidesotin	они белковали
wes palets wot takoj tolschinoj zhir salo	весь палец вот такой толщиной жир сало
tadu dun biso tar kinggitngi	там дом был этого кингита
anan targasin mu idu-wel biso	специально такая вода где-то была
mozhet irgidere mozhet	может вырастят может
hanguktachaw	я спрашивала
monin opat eto bokonchulden tar bejewa ekun beje ngenecho	сам опять стал догонять того человека который шел
hele amininhinche tar angi biso	отец наверное это был
opat dunde gorolo degilipki	опять земля далеко летит
potom tadu stadolatin nulgichowun nungardulatin	потом туда в стадо аргишили к ним
guniwki biso tar beje	человек говорит
akinmef tar eso nido nido gada	старшего брата моего никто не взял
enintin ukubdegin nungarwatin	пусть мать их кормит
degiwuwkondeso biso ojitin ukkanem	заставлял нести по воздуху сидя верхом
potom krasnaja rechka tadu indengkiwun	потом красная речка там мы жили
tar gulcho	подумала
gunem	сказала
i angilcha gadasilcha	и это начал стал гадать
ni-wel ngenecho halgardi hegdingekokurdi	кто-то прошел большими ногами
ekel nidu-de hehene gusow-luwar 	я же сказал тебе чтобы ты никому не рассказывал
irgisilda	вырастили
kak erkon dugani chuka baldiran uzhe wse nulgihinew	как маленько летом трава вырастет уже все мы начали кочеввать
tug nikeso-de hewekinun girkiladewki biso	 дружила с богом
beledengkitin nungandun ororwen tahiktedene monin-ta tahiktedengkin	помогали ему оленей его гоняя и он сам тоже гнал
tadu tar umukon dukchala iso-do tar beje	потом этот человек зашел в один чум
lukilwi lukilwi bira dapkadun tugartin iliwsa-da	свои стрелы свои стрелы вдоль них на берегу реки воткнул
er nan ekun kungakanin tegetcheren	это еще что за ребенок сидит
tug-de kete hutel-du manawra hute    hutelin eninngeheji manawra	так многие дети мои кончились дети моей покойной матери кончились
owsankilwe dawungkiwun do ekun	овсянку ели желчь какая
tak-te ele	так-то вот
nu onokow goromomo bichon bali	ну бабушка очень долго прожила слепая
hilatna dewuwki tar uldeje emewrekin	когда тот приносил мясо он ел его жаря на вертеле
bi hujukun bisof	я маленькая была
gunen	сказал
etirkon buslәldәn	муж заболел
taduk tar tare tadu-da emkejew osatin hekiduk	там же люльку мне сделали из большой лиственницы
tulosingkiw kapkara	ставил капканы
bu-wehin ajat amija akin-da ajat oldowo bultangkin	мы хорошо отец брат хорошо рыбу добывали
patij ekspeditsija moskowskoj	пятая экспедиция московской
hele ere prezident hungtu odakin-te putin osalan hele inmun ajatmer osan	вот этот когда президент другой стал путин стал жизнь наша лучше стала
togda amakaw ureldu motimidangkin-de	тогда дедушка охотился в лесу на лося
potom ajamamat ichechellew-da nungan muntiki ichetchene	потом мы стали хорошенько смотреть а он смотрит на нас
ranshe aminmi ekun bishon	раньше мой отец этим самым был
dapkunma klassil etem	восемь классов закончила
burandi girkuna kigloldi ontikin-te	на буране пешком на голицах всяко-разно
taduk eto heweki jesche raz ikteren-de	потом бог еще раз ударил
ischa-da tar dukchala hegdildulotin ischa-da moldutin tegeso urkodutin	дойдя до этого большого чума он сел на дрова у их двери
eleli stadowe gnali tuhardeduk	как раз стадо гнали из тухарда
ekun odan	что случилось
amiw akim bishon iwan nikolajewich nikolaj jegorowich amin eni	старший брат был иван николаевич николай егорович отец мать
orordi huruldingkif dalnunmi kergennunmi diski orortiki	на оленях уезжал вместе с родственниками с семьей в тайгу к оленям
nginakirtin aiwukkakur hukulodewkil	собаки у них лежат очень сытые
nu on bi ohotichaw	ну как я охотился
